Rank	Name and flag	Water area (km 2 )	Water area as percentage of total area	Percentage of national freshwater area
1	Quebec	176,928	11.5%	19.9%
2	Northwest Territories	163,021	12.1%	18.3%
3	Ontario	158,654	14.7%	17.8%
4	Nunavut	157,077	7.5%	17.6%
5	Manitoba	94,241	14.5%	10.6%
6	Saskatchewan	59,366	9.1%	6.7%
7	Newfoundland and Labrador	31,340	7.7%	3.5%
8	British Columbia	19,549	2.1%	2.2%
9	Alberta	19,531	3.0%	2.2%
10	Yukon	8,052	1.7%	0.9%
11	Nova Scotia	1,946	3.5%	0.2%
12	New Brunswick	1,458	2.0%	0.2%
13	Prince Edward Island	0	0.0%	0.0%
Total	Canada	891,163	8.9%	100.0%
