No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
23	1	"S.A.T. Blues"	Joel Zwick	Matt Ember	September 18, 1992	447901
24	2	"To B or Not to Be"	Joel Zwick	Meredith Siler	September 25, 1992	447902
25	3	"Stuck on You"	Richard Correll	Howard Adler & Robert Griffard	October 2, 1992	447904
26	4	"J.T.'s World"	Richard Correll	Julia Newton	October 9, 1992	447903
27	5	"It's a Dog's Life"	John Tracy	Matt Ember	October 16, 1992	447905
28	6	"The Boss"	James O'Keefe	Howard Adler & Robert Griffard	October 23, 1992	447908
29	7	"Model Daughter"	Richard Correll	Chuck Tately	October 30, 1992	447906
30	8	"Someone to Watch Over Me"	Jeffrey Ganz	Bob Rosenfarb	November 6, 1992	447909
31	9	"The Making of the President"	Richard Correll	Ernest Banks	November 13, 1992	447907
32	10	"Virgin Territory"	Judy Pioli	Julia Newton	November 20, 1992	447910
33	11	"Back to Basics"	Judy Pioli	Joe Fisch	December 4, 1992	447911
34	12	"Boys Will Be Boys"	Patrick Duffy	Matt Ember	December 11, 1992	447913
35	13	"If I Were a Rich Man"	Richard Correll	Julia Newton	January 8, 1993	447917
36	14	"Happy Birthday, Baby"	Judy Pioli	Meredith Siler	January 15, 1993	447912
37	15	"One of the Guys"	Mark Linn-Baker	Richard P. Halke	January 22, 1993	447916
38	16	"No Business Like Show Business"	Richard Correll	Matt Ember	February 5, 1993	447920
39	17	"Love, Port Washington Style"	Richard Correll	Scott Spencer Gordon	February 12, 1993	447918
40	18	"Aloha (Part 1)"	Richard Correll	Howard Adler & Robert Griffard	February 19, 1993	447914
41	19	"Aloha (Part 2)"	Richard Correll	Howard Adler & Robert Griffard	February 26, 1993	447915
42	20	"No Way to Treat a Lady"	Richard Correll	Bob Rosenfarb	March 12, 1993	447919
43	21	"The Un-Natural"	Patrick Duffy	Bob Rosenfarb	April 2, 1993	447923
44	22	"The Psychic"	Joel Zwick	Julia Newton	April 30, 1993	447924
45	23	"This Old House"	Richard Correll	Howard Adler & Robert Griffard	May 7, 1993	447922
