Peak	Country	Elevation (m)	Prominence (m)	Col (m)
Musala	Bulgaria	2,925	2,473	432
Mount Olympus	Greece	2,919	2,355	564
Mount Korab	Albania / Macedonia	2,764	2,169	595
Maja Jezercë	Albania	2,694	2,036	658
Mount Athos	Greece	2,030	2,012	18
Mount Ossa	Greece	1,978	1,854	124
Nemërçkë ( Maja e Papingut )	Albania	2,482	1,792	690
Vihren	Bulgaria	2,914	1,783	1131
Pangaion Hills	Greece	1,956	1,773	183
Kaimakchalan	Greece / Macedonia	2,528	1,758	770
Smolikas	Greece	2,637	1,736	901
Mount Giona	Greece	2,510	1,702	808
Jakupica	Macedonia	2,540	1,666	874
Maja e Këndrevicës	Albania	2,121	1,666	455
Radomir	Bulgaria / Greece	2,031	1,595	436
Mount Parnassus	Greece	2,457	1,590	867
Botev Peak	Bulgaria	2,376	1,567	809
Mali i Çikës	Albania	2,044	1,563	481
Maja e Valamarës	Albania	2,373	1,526	847
Pelister	Macedonia	2,601	1,516	1085
Psili Koryfi	Greece	1,589	1,514	75
