Track	Title	Translation	Composer	Recorded
1	"J'arrive"	I'm coming	Jacques Brel, Gérard Jouannest	1968-09-14
2	"Vesoul"	Vesoul	Jacques Brel	1968-09-23
3	"L'Ostendaise"	The Ostendaise	Jacques Brel, François Rauber	1968-09-23
4	"Je suis un soir d'été"	I am a summer evening	Jacques Brel	1968-09-15
5	"Regarde bien petit"	Be watchful	Jacques Brel	1968-09-14
6	"Comment tuer l'amant"	How to kill the lover	Jacques Brel, Gérard Jouannest	1968-09-12
7	"L'Éclusier"	The lockman	Jacques Brel	1968-09-07
8	"Un enfant"	A child	Jacques Brel, Gérard Jouannest	1968-09-14
9	"La Bière"	Beer	Jacques Brel	1968-09-14
10	"La Chanson de Van Horst"	The song of Van Horst	Jacques Brel, Gérard Jouannest	1972
11	"L'Enfance"	Childhood	Jacques Brel, François Rauber	1973-05-24
