Round	Overall	Player	Position	College
2	34	Charles Philyaw	DE	Texas Southern
2	50	Jeb Blount	QB	Tulsa
3	84	Rik Bonness	LB	Nebraska
4	110	Herb McMath	DE	Morningside
5	146	Fred Steinfort	K	Boston College
7	204	Clarence Chapman	WR	Eastern Michigan
8	220	Jerome Dove	DB	Colorado State
8	231	Terry Kunz	HB	Colorado
10	286	Dwight Lewis	DB	Purdue
11	313	Rich Jennings	HB	Maryland
12	343	Cedric Brown	S	Kent State
13	367	Craig Crnick	DE	Idaho
13	370	Mark Young	G	Washington State
14	397	Calvin Young	HB	Fresno State
15	427	Carl Hargrave	DB	Upper Iowa
16	454	Doug Hogan	DB	Southern California
17	478	Buddy Tate	DB	Tulsa
17	481	Nate Beasley	HB	Delaware
