Week	Opponent	Result	Stadium	Record	Attendance
1	at Chicago Bears	L 3-6	Soldier Field	0-1	56515
2	New Orleans Saints	W 28-19	Milwaukee County Stadium	1-1	53184
3	Tampa Bay Buccaneers	L 21-10	Lambeau Field	1-2	55498
4	at Minnesota Vikings	L 27-21 (OT)	Metropolitan Stadium	1-3	46524
5	New England Patriots	W 27-14	Lambeau Field	2-3	52842
6	at Atlanta Falcons	L 7-25	Atlanta-Fulton County Stadium	2-4	56184
7	Detroit Lions	W 24-16	Milwaukee County Stadium	3-4	53930
8	at Tampa Bay Buccaneers	L 3-21	Tampa Stadium	3-5	67186
9	at Miami Dolphins	L 7-27	Orange Bowl	3-6	47741
10	New York Jets	L 22-27	Lambeau Field	3-7	54201
11	Minnesota Vikings	W 19-7	Milwaukee County Stadium	4-7	52706
12	at Buffalo Bills	L 12-19	Rich Stadium	4-8	39679
13	Philadelphia Eagles	L 10-21	Lambeau Field	4-9	50023
14	at Washington Redskins	L 21-38	RFK Stadium	4-10	51682
15	Chicago Bears	L 14-15	Lambeau Field	4-11	54207
