Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Winner	December 7, 1987	Guarujá	Hard	Cheryl Jones	Jill Hetherington Mercedes Paz	6–4, 4–6, 6–4
Winner	March 7, 1988	Boca Raton	Hard	Zina Garrison	Claudia Kohde-Kilsch Helena Suková	4–6, 7–5, 6–4
Runner-up	April 11, 1988	Amelia Island	Clay	Penny Barg	Zina Garrison Eva Pfaff	4–6, 6–2, 7–6(5)
Winner	April 18, 1988	Houston	Clay	Zina Garrison	Lori McNeil Martina Navratilova	6–7(4), 6–2, 6–4
Runner-up	October 24, 1988	Indianapolis	Hard (i)	Zina Garrison	Larisa Savchenko Natasha Zvereva	6–2, 6–1
Winner	November 25, 1988	Tokyo	Carpet	Zina Garrison	Gigi Fernández Robin White	7–5, 7–5
Winner	January 30, 1989	Tokyo	Carpet	Zina Garrison	Gigi Fernández Claudia Kohde-Kilsch	6–3, 3–6, 7–6(5)
Winner	February 27, 1989	San Antonio	Hard	Pam Shriver	Patty Fendick Jill Hetherington	3–6, 6–1, 6–4
Winner	April 24, 1989	Houston	Clay	Zina Garrison	Gigi Fernández Lori McNeil	6–3, 6–4
Winner	May 22, 1989	Geneva	Clay	Lori McNeil	Larisa Savchenko Natalia Zvereva	2–6, 6–3, 6–4
Winner	June 19, 1989	Eastbourne	Grass	Zina Garrison	Jana Novotná Helena Suková	6–3 ret.
Winner	October 23, 1989	Brighton	Carpet	Lori McNeil	Hana Mandlíková Jana Novotná	4–6, 7–6(7), 6–4
Winner	October 30, 1989	Indianapolis	Hard (i)	Lori McNeil	Claudia Porwik Larisa Savchenko	6–4, 6–4
Runner-up	November 5, 1990	Indianapolis	Hard (i)	Jill Hetherington	Patty Fendick Meredith McGrath	6–1, 6–1
Runner-up	February 18, 1991	Oklahoma City	Hard (i)	Jill Hetherington	Meredith McGrath Anne Smith	6–2, 6–4
Runner-up	July 22, 1991	Westchester	Hard	Lori McNeil	Rosalyn Fairbank Lise Gregory	7–5, 6–4
Winner	August 5, 1991	Albuquerque	Hard	Isabelle Demongeot	Lise Gregory Peanut Louie Harper	6–7(2), 6–4, 6–3
Runner-up	November 11, 1991	Indianapolis	Hard (i)	Mercedes Paz	Patty Fendick Gigi Fernández	6–4, 6–2
Runner-up	February 10, 1992	Chicago	Carpet	Zina Garrison	Martina Navratilova Pam Shriver	6–4, 7–6(7)
Runner-up	February 17, 1992	Oklahoma City	Hard (i)	Manon Bollegraf	Lori McNeil Nicole Bradtke	3–6, 6–4, 7–6(6)
Winner	November 9, 1992	Indianapolis	Hard (i)	Elna Reinach	Sandy Collins Mary-Lou Daniels	5–7, 6–2, 6–4
Winner	February 8, 1993	Chicago	Carpet	Zina Garrison	Amy Frazier Kimberly Po	7–6(7), 6–3
Runner-up	February 15, 1993	Oklahoma City	Hard (i)	Manon Bollegraf	Patty Fendick Zina Garrison	6–3, 6–2
Winner	March 22, 1993	Houston	Clay	Manon Bollegraf	Eugenia Maniokova Radomira Zrubáková	6–3, 5–7, 7–6(7)
Runner-up	March 28, 1993	Hilton Head	Clay	Manon Bollegraf	Gigi Fernández Natalia Zvereva	6–3, 6–1
Winner	November 1, 1993	Quebec City	Hard (i)	Manon Bollegraf	Katerina Maleeva Nathalie Tauziat	6–4, 6–4
Winner	November 8, 1993	Philadelphia	Carpet	Manon Bollegraf	Conchita Martínez Larisa Neiland	6–2, 4–6, 7–6(7)
Runner-up	February 14, 1994	Oklahoma City	Hard (i)	Manon Bollegraf	Patty Fendick Meredith McGrath	7–6(3), 6–2
Runner-up	March 21, 1994	Houston	Clay	Zina Garrison	Manon Bollegraf Martina Navratilova	6–4, 6–2
Runner-up	February 13, 1995	Oklahoma City	Hard (i)	Brenda Schultz-McCarthy	Nicole Arendt Laura Golarsa	6–4, 6–3
Runner-up	October 30, 1995	Oakland	Carpet	Zina Garrison	Lori McNeil Helena Suková	3–6, 6–4, 6–3
Runner-up	February 19, 1996	Oklahoma City	Hard (i)	Debbie Graham	Chanda Rubin Brenda Schultz-McCarthy	6–4, 6–3
Winner	May 6, 1996	Budapest	Clay	Debbie Graham	Radka Bobková Eva Melicharová	6–3, 7–6(3)
Winner	May 13, 1996	Cardiff	Clay	Mariaan de Swardt	Els Callens Laurence Courtois	6–0, 6–4
Winner	June 9, 1997	Birmingham	Grass	Larisa Neiland	Nathalie Tauziat Linda Wild	6–2, 6–3
Runner-up	January 12, 1998	Sydney	Hard	Meredith McGrath	Martina Hingis Helena Suková	6–1, 6–2
