Tournament	2001	2002	2003	2005	2006	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	1R	1R	A	A	A	A	Q2	3R	2R	2R	A
French Open	1R	Q1	A	A	A	Q2	1R	3R	1R	2R	3R
Wimbledon	1R	A	A	A	Q3	Q1	3R	1R	A	3R	1R
US Open	1R	A	A	A	1R	Q2	1R	3R	2R	1R	2R
Win–Loss	0–4	0–1	0–0	0–0	0–1	0–0	2–3	6–4	2–3	4–4	3–3
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	Q2	A	A	A	A	A	Q1	QF	3R	1R
Miami	1R	A	A	A	A	A	A	2R	2R	3R	A
Madrid	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	Not Held	1R	2R	1R	A
Beijing	Not Held	Not Held	Not Held	Not Tier I	Not Tier I	Not Tier I	Not Tier I	3R	1R	2R	Q1
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Dubai	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	Not Tier I	A	2R	1R	NP5
Rome	A	Q1	A	A	A	A	A	QF	W	1R	1R
Cincinnati	Not Held	Not Held	Not Held	Not Tier I	Not Tier I	Not Tier I	Not Tier I	2R	A	1R	1R
Canada	A	A	A	A	1R	A	A	A	A	3R	1R
Tokyo	A	A	A	A	A	A	A	A	1R	1R	Q1
Year-End Ranking	92	278	348	397	109	173	92	27	28	35	161
