Pos	Constructor	Chassis	Starts	Finishes	Wins	Podiums	Stage wins	Power stage wins	Points
1	Citroën Total World Rally Team	Citroën DS3 WRC	26	22	10	16	121	7	403
2	Ford Abu Dhabi World Rally Team	Ford Fiesta RS WRC	26	25	3	16	103	4	376
3	M-Sport Stobart Ford World Rally Team	Ford Fiesta RS WRC	47	34	0	3	4	0	178
4	Petter Solberg World Rally Team	Citroën DS3 WRC	13	10	0	2	30	1	98
5	FERM Power Tools World Rally Team	Ford Fiesta RS WRC	17	12	0	0	0	0	54
6	Team Abu Dhabi	Ford Fiesta RS WRC	9	9	0	0	0	0	54
7	Munchi's Ford World Rally Team	Ford Fiesta RS WRC	7	6	0	0	0	0	38
8	Monster World Rally Team	Ford Fiesta RS WRC	7	6	0	0	0	0	27
9	Van Merksteijn Motorsport	Citroën DS3 WRC	12	4	0	0	0	0	16
10	Brazil World Rally Team	Mini John Cooper Works WRC	11	5	0	0	0	0	7
11	ICE 1 Racing	Citroën DS3 WRC	9	6	0	0	0	0	48
