Name	Location	Land	Longest span in s metre ( feet )	Arch type	Completed
Pont de la Libération	Villeneuve-sur-Lot	France	96 (315)	uc	1919
:de:Syratalviadukt	Plauen	Germany	90 (295)	uc	1905
Longmen Bridge	Luoyang	China	90 (295)	ws	1961
Solkan Bridge	Nova Gorica	Slovenia	85 (278)	ws	1906
Adolphe Bridge	Luxembourg City	Luxembourg	84 (275)	ws	1904
Pont de Montanges (Pont-des-Pierres)	Valserine river	France	80 (262)	ws	1910
:fr:Viaduc de la Roizonne	La Mure	France	79 (260)	ws	1928
Trezzo sull'Adda Bridge	Lombardy	Italy	72 (236)	ws	1377
Steyrling Bridge	de:Pyhrn Railroad	Austria	70 (230)	ws	1904
Union Arch Bridge	Maryland	USA	67 (220)	ws	1864
:de:Sonnborner Eisenbahnbrücke	Wuppertal	Germany	66 (216)	ws	1914
Gutach Bridge	Höllental Railroad	Germany	64 (209)	ws	1900
König-Ludwig-Brücke and Obere Illerbrücken	Kempten (Allgäu)	Germany	64 (209)	uc	1851/1906
Pont de la Balme	Savoie	France	64 (209)	ws	1946
:de:Luitpoldbrücke (München)	Munich	Germany	63 (206)	ws	1901
:de:Max-Joseph-Brücke	Munich	Germany	63 (206)	ws	1902
Grosvenor Bridge	Chester	UK	61 (200)	ws	1832
Lavaur Railroad Bridge	Agout River	France	61 (200)	ws	1884
Wechselburg-Göhrer Bridge	Saxony	Germany	60 (196)	ws	1904
Huanghugang Bridge	Hunan	China	60 (196)	ws	1959
Longmen Bridge	Luoyang	China	60 (196)	ws	1961
Orkla Bridge	Dovre Line , Rennebu	Norway	60	ws	1921
Skodje Bridge	Skodje	Norway	59	ws	1922
de:Wallstraßenbrücke	Ulm	Germany	57 (187)	uc	1905
Ballochmyle Viaduct	Mauchline	UK	55 (180)	ws	1848
Wiesen Viaduct	Landwasser River	Switzerland	55 (180)	ws	1909
Pélussin Tramway Bridge	Loire	France	55 (180)	ws	1919
Pont de Rabastens	Tarn	France	55 (180)	ws	1924
Pont de Vieille-Brioude	Allier River	France	54 (177)	ws	1479
Yixiantian Bridge	Chengdu–Kunming Railway	China	54 (177)	ws	1966
Jora bridge	Rauma Line , Dombås	Norway	54	ws	1918
Gignac Bridge	Hérault	France	50 (164)	ws	1810
fr:Viaduc de Nogent-sur-Marne	Val-de-Marne	France	50 (164)	ws	1856
Munderkingen Bridge	Baden-Württemberg	Germany	50 (164)	uc	1893
:fr:Viaduc des Eaux-salées	Provence-Alpes-Côte d'Azur	France	50 (164)	ws	1914
Baisha Bridge	Zhejiang	China	50 (164)	ws	1960
