Rd.	Race	Pole position	Fastest lap	Most laps led	Winning driver	Winning team	Report
1	São Paulo	Dario Franchitti	Will Power	Dario Franchitti	Will Power	Team Penske	Report
2	St. Petersburg	Will Power	E. J. Viso	Will Power	Will Power	Team Penske	Report
3	Barber	Will Power	Justin Wilson	Marco Andretti	Hélio Castroneves	Team Penske	Report
4	Long Beach	Will Power	Ryan Hunter-Reay	Ryan Hunter-Reay	Ryan Hunter-Reay	Andretti Autosport	Report
5	Kansas	Ryan Briscoe	Tony Kanaan	Scott Dixon	Scott Dixon	Chip Ganassi Racing	Report
6	Indianapolis	Hélio Castroneves	Will Power	Dario Franchitti	Dario Franchitti	Chip Ganassi Racing	Report
7	Texas	Ryan Briscoe	Ryan Hunter-Reay	Ryan Briscoe	Ryan Briscoe	Team Penske	Report
8	Iowa	Will Power	Dario Franchitti	Dario Franchitti	Tony Kanaan	Andretti Autosport	Report
9	Watkins Glen	Will Power	Will Power	Will Power	Will Power	Team Penske	Report
10	Toronto	Justin Wilson	Will Power	Justin Wilson	Will Power	Team Penske	Report
11	Edmonton	Will Power	Scott Dixon	Will Power	Scott Dixon	Chip Ganassi Racing	Report
12	Mid-Ohio	Will Power	Ryan Briscoe	Alex Tagliani	Dario Franchitti	Chip Ganassi Racing	Report
13	Sonoma	Will Power	J. R. Hildebrand	Will Power	Will Power	Team Penske	Report
14	Chicagoland	Ryan Briscoe	Scott Dixon	Ryan Briscoe	Dario Franchitti	Chip Ganassi Racing	Report
15	Kentucky	Ed Carpenter	Ryan Hunter-Reay	Dan Wheldon	Hélio Castroneves	Team Penske	Report
16	Motegi	Hélio Castroneves	Hélio Castroneves	Hélio Castroneves	Hélio Castroneves	Team Penske	Report
