Outcome	Tournament	Surface	Opponent	Score
Runner-up	Australia F4, Bairnsdale, Australia	Clay	Konstantinos Economidis	3-6, 2-6
Winner	U.S.A. F21, WI, U.S.A	Hard	Kevin Anderson	6-3, 6-7(2), 6-1
Runner-up	Australia F7, Australia	Hard	Rob Steckley	5-7, 3-6
Winner	Australia F9, Australia	Hard	Miles Armstrong	6-3, 6-3
Winner	Great Britain F13, Great Britain	Grass	Daniel King-Turner	6-4, 6-4
Runner-up	Great Britain F14, Great Britain	Hard	Robert Smeets	4-6, 6-4, 4-6
Runner-up	Australia F3, Australia	Hard	Colin Ebelthite	4-6, 2-6
Runner-up	Australia F12, Australia	Hard	Marinko Matosevic	3-6, 6-7(4)
Runner-up	New Zealand F1, New Zealand	Hard	Rameez Junaid	3-6, 3-6
Runner-up	Australia F7, Australia	Hard	Alex Bolt	7-5, 3-6, 1-6
Runner-up	Australia F8, Australia	Hard	Matt Reid	3-6, 6-3, 3-6
Winner	Australia F9, Australia	Hard	Alex Bolt	3-6, 7-6(2), 6-2
Runner-up	Australia F10, Australia	Hard	Michael Venus	3-6, 6-3, 3-6
Winner	Thailand F3, Thailand	Hard	Pruchya Isarow	6-4, 6-1
Winner	Australia F6, Australia	Hard	Andrew Whittington	7-6(6), 6-4
