Game	Date	Opponent	Score	Record	Venue	Attendance
1	9-7-1986	Houston Oilers	L,3-31	0-1	Lambeau Field	54,065
2	9-14-1986	at New Orleans Saints	L,10-24	0-2	Louisiana Superdome	46,383
3	9-22-1986	Chicago Bears	L,12-25	0-3	Lambeau Field	55,527
4	9-28-1986	at Minnesota Vikings	L,7-42	0-4	Hubert H. Humphrey Metrodome	60,478
5	10-5-1986	Cincinnati Bengals	L,28-34	0-5	Milwaukee County Stadium	51,230
6	10-12-1986	Detroit Lions	L,14-21	0-6	Lambeau Field	52,290
7	10-19-1986	at Cleveland Browns	W,17-14	1-6	Cleveland Stadium	76,438
8	10-26-1986	San Francisco 49ers	L,17-31	1-7	Milwaukee County Stadium	50,557
9	11-2-1986	at Pittsburgh Steelers	L,3-27	1-8	Three Rivers Stadium	52,831
10	11-9-1986	Washington Redskins	L,7-16	1-9	Lambeau Field	47,728
11	11-16-1986	Tampa Bay Buccaneers	W,31-7	2-9	Milwaukee County Stadium	48,271
12	11-23-1986	at Chicago Bears	L,10-12	2-10	Soldier Field	59,291
13	11-27-1986	at Detroit Lions	W,44-40	3-10	Pontiac Silverdome	61,199
14	12-7-1986	Minnesota Vikings	L,6-32	3-11	Lambeau Field	47,637
15	12-14-1986	at Tampa Bay Buccaneers	W,21-7	4-11	Tampa Stadium	30,099
16	12-20-1986	at New York Giants	L,24-55	4-12	Giants Stadium	71,351
