Team	Stadium	Capacity	Opened	City
Amsterdam Admirals	Amsterdam ArenA	51,859	1996	Amsterdam , The Netherlands
Amsterdam Admirals	Olympisch Stadion	31,600	1928	Amsterdam , The Netherlands
Barcelona Dragons	Mini Estadi	15,276	1982	Barcelona , Spain
Barcelona Dragons	Estadi Olímpic Lluís Companys	56,000	1929	Barcelona , Spain
Berlin Thunder	Olympiastadion	76,000	1936	Berlin , Germany
Berlin Thunder	F. L. Jahn Sportpark	19,500	1951	Berlin , Germany
Cologne Centurions	RheinEnergieStadion	50,374	1923	Cologne , Germany
Frankfurt Galaxy	Commerzbank-Arena Waldstadion (1925–2005)	52,000	1925	Frankfurt , Germany
Hamburg Sea Devils	AOL Arena	55,989	2000	Hamburg , Germany
London/England Monarchs	Ashton Gate	21,500	1900	Bristol , England
London/England Monarchs	Alexander Stadium	7,600	1976	Birmingham , England
London/England Monarchs	Crystal Palace National Sports Centre	15,500	1964	London , England
London/England Monarchs	Stamford Bridge	42,449	1877	London , England
London/England Monarchs	White Hart Lane	36,240	1899	London , England
London/England Monarchs	Wembley Stadium	80,000	1923	London , England
Rhein Fire	LTU Arena	51,500	2004	Düsseldorf , Germany
Rhein Fire	Arena AufSchalke	61,524	2001	Gelsenkirchen , Germany
Rhein Fire	Rheinstadion	55,900	1926	Düsseldorf , Germany
Scottish Claymores	Hampden Park	52,500	1903	Glasgow , Scotland
Scottish Claymores	Murrayfield Stadium	67,500	1925	Edinburgh , Scotland
