Rider	Bike	Laps	Time	Grid
Noriyuki Haga	Yamaha YZF-R1	23	37:03.759	10
Troy Bayliss	Ducati 1098 F08	23	+1.551	3
Carlos Checa	Honda CBR1000RR	23	+2.903	7
Ryuichi Kiyonari	Honda CBR1000RR	23	+7.277	6
Troy Corser	Yamaha YZF-R1	23	+8.051	8
Yukio Kagayama	Suzuki GSX-R1000	23	+9.223	2
Rubén Xaus	Ducati 1098 RS 08	23	+10.164	4
Max Biaggi	Ducati 1098 RS 08	23	+10.614	9
Régis Laconi	Kawasaki ZX-10R	23	+17.234	15
Fonsi Nieto	Suzuki GSX-R1000	23	+18.100	13
Gregorio Lavilla	Honda CBR1000RR	23	+18.288	17
Lorenzo Lanzi	Ducati 1098 RS 08	23	+18.826	5
Michel Fabrizio	Ducati 1098 F08	23	+21.770	11
Jakub Smrž	Ducati 1098 RS 08	23	+22.872	16
Kenan Sofuoğlu	Honda CBR1000RR	23	+25.224	24
Shinichi Nakatomi	Yamaha YZF-R1	23	+25.301	21
Roberto Rolfo	Honda CBR1000RR	23	+25.509	18
David Checa	Yamaha YZF-R1	23	+25.615	14
Russell Holland	Honda CBR1000RR	23	+26.503	20
Karl Muggeridge	Honda CBR1000RR	23	+35.171	19
Ayrton Badovini	Kawasaki ZX-10R	23	+53.624	27
Diego Lozano Ortiz	Honda CBR1000RR	23	+54.672	26
Luca Morelli	Honda CBR1000RR	23	+1'00.537	29
Shuhei Aoyama	Honda CBR1000RR	23	+1'24.952	28
Carmelo Morales	Yamaha YZF-R1	22	+1 Lap	25
Makoto Tamada	Kawasaki ZX-10R	7	Accident	12
Loïc Napoleone	Yamaha YZF-R1	6	Retirement	30
