#	Episode	Rating	Share	Rating/Share (18-49)	Viewers (millions)	Rank (Timeslot)	Rank (Night)	Rank (Week)
1	"Faith"	7.3	12	4.2/12	11.83	1	3	10
2	"Freedom"	6.0	10	3.6/10	9.38	2	5	11
3	"Father Figure"	5.3	8	2.8/8	7.82	2	6	TBA
4	"Wake Me Up Before You Go-Go"	4.8	7	2.7/7	7.61	2	7	TBA
5	"One More Try"	5.2	7	2.7/7	7.46	2	7	TBA
6	"Something to Save"	4.7	8	2.4/7	7.14	2	TBA	TBA
7	"Heal the Pain"	4.8	8	2.5/7	7.31	2	8	TBA
8	"Praying for Time"	4.7	8	2.3/7	7.32	2	7	TBA
9	"I Want Your Sex"	4.4	7	1.9/5	6.53	1	6	45
10	"Heartbeat"	3.6	6	1.6/4	5.88	2	7	44
11	"Patience"	4.0	7	1.9/5	5.97	TBA	TBA	48
12	"Waiting for That Day"	6.1	10	2.9/10	9.25	1	5	22
13	"Soul Free"	4.2	8	2.0/6	6.45	TBA	TBA	41
14	"The Path"	5.8	10	2.3/6	8.82	3	7	51
15	"Grace"	5.7	10	2.2/6	8.51	3	9	54
16	"Unwritten"	5.0	8	2.0/5	7.67	3	9	55
17	"Should I Stay or Should I Go?"	4.9	8	2.0/5	7.44	3	11	58
18	"The Humanitarian"	4.6	8	1.8/5	6.87	3	11	59
19	"Happy Birthday, Nate!"	3.2	6	1.6/4	4.93	3	12	56
20	"Help!"	3.3	5	1.4/4	4.89	3	14	52
21	"Owner of a Lonely Heart"	3.5	6	1.6/4	5.15	TBA	9	42
22	"Two Ministers"	2.4	4	1.2/3	3.81	TBA	TBA	33
23	"Sonoma"	1.8	3	0.5/2	2.50	3	9	28
24	"Mortal Combat"	1.7	3	0.5/2	2.69	3	9	38
25	"Tailspin"	1.8	4	0.6/3	2.65	3	6	28
