Title	Directed by	Written by	Original air date	Production code
" Mystic "	Don Colliver	Peter Field Rachael Ray	January21,2005	AD1D02
" Nantucket "	Don Colliver	Peter Field Rachael Ray	February4,2005	AD1D01
" Salem "	Don Colliver	Peter Field Rachael Ray	February18,2005	AD1D03
" Jackson Hole "	Don Colliver	Peter Field Rachael Ray	April12,2005	AD1D06
" Mount Rushmore "	Don Colliver	Peter Field Rachael Ray	April19,2005	AD1D07
" Ashland "	Don Colliver	Peter Field Rachael Ray	May3,2005	AD1D05
" Coos Bay "	Don Colliver	Peter Field Rachael Ray	May13,2005	AD1D04
" South Beach "	Don Colliver	Peter Field Rachael Ray	June10,2005	AD1D09
" Ft. Lauderdale "	Don Colliver	Peter Field Rachael Ray	July8,2005	AD1D10
" San Juan "	Don Colliver	Peter Field Rachael Ray	July22,2005	AD1D11
" Antigua "	Don Colliver	Peter Field Rachael Ray	August12,2005	AD1D12
" New York City "	Don Colliver	Peter Field Rachael Ray	December2,2005	AD1D08
