Team	Car(s)	#	Driver(s)	Primary Sponsor(s)	Listed Owner(s)	Crew Chief
BAM Racing	Dodge Charger	49	Ken Schrader	Schwans	Beth Ann Morganthau	David Hyder
Bill Davis Racing	Dodge Charger	22	Scott Wimmer	Caterpillar Inc.	Bill Davis	Derrick Finley
Bill Davis Racing	Dodge Charger	93	Casey Atwood	Sirius Satellite Radio	Bill Davis	Lee McCall
Chip Ganassi Racing with Felix Sabates	Dodge Charger	40	Sterling Marlin	Coors Light	Felix Sabates Chip Ganassi Floyd Ganassi	Steve Boyer
Chip Ganassi Racing with Felix Sabates	Dodge Charger	41	Casey Mears	Target Corporation	Felix Sabates Chip Ganassi Floyd Ganassi	Jimmy Elledge
Chip Ganassi Racing with Felix Sabates	Dodge Charger	42	Jamie McMurray	Texaco / Havoline	Felix Sabates Chip Ganassi Floyd Ganassi	Donnie Wingo
Dale Earnhardt, Inc.	Chevrolet Monte Carlo	8	Dale Earnhardt, Jr.	Budweiser	Teresa Earnhardt	Pete Rondeau
Dale Earnhardt, Inc.	Chevrolet Monte Carlo	15	Michael Waltrip	NAPA Auto Parts	Teresa Earnhardt	Tony Eury, Jr.
Evernham Motorsports	Dodge Charger	9	Kasey Kahne	Dodge Dealers	Ray Evernham	Tommy Baldwin Jr.
Evernham Motorsports	Dodge Charger	19	Jeremy Mayfield	Dodge Dealers	Ray Evernham	Kenny Francis
Front Row Motorsports	Chevrolet Monte Carlo	92	Stanton Barrett (R)	First Trust Portfolios	Bob Jenkins	Fred Wanke
Haas CNC Racing	Chevrolet Monte Carlo	0	Mike Bliss	NetZero	Gene Haas	Bootie Barker
Hendrick Motorsports	Chevrolet Monte Carlo	5	Kyle Busch (R)	Kellogg Company	Rick Hendrick Joe Hendrick Jeff Gordon	Alan Gustafson
Hendrick Motorsports	Chevrolet Monte Carlo	24	Jeff Gordon	DuPont	Rick Hendrick Joe Hendrick Jeff Gordon	Robbie Loomis
Hendrick Motorsports	Chevrolet Monte Carlo	25	Brian Vickers	GMAC	Rick Hendrick Joe Hendrick Jeff Gordon	Lance McGrew
Hendrick Motorsports	Chevrolet Monte Carlo	48	Jimmie Johnson	Lowe's	Rick Hendrick Joe Hendrick Jeff Gordon	Chad Knaus
Joe Gibbs Racing	Chevrolet Monte Carlo	11	Jason Leffler	FedEx	J. D. Gibbs Joe Gibbs	Dave Rogers
Joe Gibbs Racing	Chevrolet Monte Carlo	18	Bobby Labonte	Interstate Batteries	J. D. Gibbs Joe Gibbs	Steve Addington
Joe Gibbs Racing	Chevrolet Monte Carlo	20	Tony Stewart	The Home Depot	J. D. Gibbs Joe Gibbs	Greg Zipadelli
Kirk Shelmerdine Racing	Ford Taurus	27	Kirk Shelmerdine	Freddie B's	Kirk Shelmerdine	Phil Harris
Mach 1 Racing	Chevrolet Monte Carlo	34	Randy LaJoie	Dimension Films	Chris Edwards	Mike Steurer
MBV Motorsports	Chevrolet Monte Carlo	1	Joe Nemechek	United States Army	James Rocco Nelson Bowers	Ryan Pemberton
MBV Motorsports	Chevrolet Monte Carlo	10	Scott Riggs	Valvoline	James Rocco Nelson Bowers	Doug Randolph
Morgan-McClure Motorsports	Chevrolet Monte Carlo	4	Mike Wallace	Lucas Oil	Larry McClure	Chris Carrier
Penske-Jasper Racing	Dodge Charger	2	Rusty Wallace	Miller Lite	Roger Penske Doug Bawel	Larry Carter
Penske-Jasper Racing	Dodge Charger	12	Ryan Newman	Alltel	Roger Penske Doug Bawel	Matt Borland
Penske-Jasper Racing	Dodge Charger	77	Travis Kvapil (R)	Eastman Kodak	Roger Penske Doug Bawel	Shane Wilson
Petty Enterprises	Dodge Charger	43	Jeff Green	Cheerios	Richard Petty Kyle Petty	Greg Steadman
Petty Enterprises	Dodge Charger	45	Kyle Petty	Georgia-Pacific	Richard Petty Kyle Petty	Paul Andrews
Peak Fitness Racing	Ford Taurus	66	Hermie Sadler	Peak Fitness	Jeff Stec	James Ince
ppc Racing	Ford Taurus	14	John Andretti	Victory Brand	Greg Pollex	Dave Charpentier
PPI Motorsports	Chevrolet Monte Carlo	32	Bobby Hamilton, Jr.	Tide	Cal Wells	Harold Holly
Raabe Racing Enterprises	Chevrolet Monte Carlo	73	Eric McClure (R)	ARC DeHooker	Ed Raabe	Tim Brewer
R&J Racing	Dodge Charger	37	Kevin Lepage	BoSpoker / Patron Tequila	John Carter	Billy Poindexter
Richard Childress Racing	Chevrolet Monte Carlo	7	Dave Blaney	Jack Daniel's	Richard Childress	Phillipe Lopez
Richard Childress Racing	Chevrolet Monte Carlo	29	Kevin Harvick	GM Goodwrench	Richard Childress	Todd Berrier
Richard Childress Racing	Chevrolet Monte Carlo	31	Jeff Burton	Cingular Wireless	Richard Childress	Kevin Hamlin
Robby Gordon Motorsports	Chevrolet Monte Carlo	7	Robby Gordon	Harrah's / Fruit of the Loom	Jim Smith	Bob Temple
Robert Yates Racing	Ford Taurus	38	Elliott Sadler	M&M's	Robert Yates	Todd Parrott
Robert Yates Racing	Ford Taurus	88	Dale Jarrett	UPS	Robert Yates	Mike Ford
Victory In Jesus Racing	Dodge Charger	89	Morgan Shepherd	Racing with Jesus	Cindy Shepherd	Troy Kelly
