Aircraft	Origin	Type	Versions	In service
Agusta A109	Italy	Recce helicopter	A109EOA-2	12
Agusta A129 Mangusta	Italy	Attack helicopter	CBT	56
Bell UH-1 Iroquois	United States	Transport helicopter	AB 205	42
Bell 212	United States	Transport helicopter	AB 212	39
Bell 412	United States	Transport helicopter	AB 412	31
NHI NH90	European Union	Transport helicopter	TTH	21
Boeing CH-47 Chinook	United States	Transport helicopter	CH-47C	14
Boeing CH-47 Chinook	United States	Transport helicopter	CH-47F	0
Dornier Do 228	Germany	Utility transport	Do 228-200	3
Piaggio P180 Avanti	Italy	Utility transport	P.180 M	3
