Municipality	Number	Population	Area¹	Density²	Part
Stockholm	1	889,501	188.06	4,730	Centre , West , South
Huddinge	2	101,766	131.34	775	Southern Suburbs ( Södermanland )
Botkyrka	3	86,990	194.83	446	Southern Suburbs ( Södermanland )
Salem	4	15,979	54.32	294	Southern Suburbs ( Södermanland )
Södertälje	5	90,257	525.57	172	Southern Suburbs ( Södermanland )
Nykvarn	6	9,511	153.46	62	Southern Suburbs ( Södermanland )
Nynäshamn	7	26,670	357.23	75	Southern Suburbs ( Södermanland )
Haninge	8	80,095	457.50	175	Southern Suburbs ( Södermanland )
Tyresö	9	43,956	69.48	633	Southern Suburbs ( Södermanland )
Nacka	10	93,723	95.50	981	Southern Suburbs ( Södermanland )
Värmdö	11	39,616	442.96	89	Northern Suburbs ( Uppland )
Lidingö	12	44,742	30.89	1,448	Northern Suburbs ( Uppland )
Vaxholm	13	11,167	57.66	194	Northern Suburbs ( Uppland )
Österåker	14	40,370	310.75	130	Northern Suburbs ( Uppland )
Norrtälje	15	56,727	2010.76	28	Northern Suburbs ( Uppland )
Vallentuna	16	31,480	360.06	87	Northern Suburbs ( Uppland )
Sigtuna	17	42,841	327.87	131	Northern Suburbs ( Uppland )
Upplands-Bro	18	24,486	237.10	103	Northern Suburbs ( Uppland )
Upplands Väsby	19	41,173	75.37	546	Northern Suburbs ( Uppland )
Täby	20	65,879	60.62	1,087	Northern Suburbs ( Uppland )
Sollentuna	21	67,512	52.94	1,275	Northern Suburbs ( Uppland )
Danderyd	22	32,067	26.51	1,210	Northern Suburbs ( Uppland )
Järfälla	23	68,835	54.05	1,274	Northern Suburbs ( Uppland )
Ekerö	24	26,254	216.39	121	Northern Suburbs ( Uppland )
Sundbyberg	25	41,607	8.71	4,777	Northern Suburbs ( Uppland )
Solna	26	71,658	19.38	3,698	Northern Suburbs ( Uppland )
Total	26	2,144,862	6,519.31	329.00	Metropolitan Area
