Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1997	September 14	Jeff Gordon	Hendrick Motorsports	Chevrolet	300	317.4 (510.805)	3:09:45	100.364	Report
1998	August 30	Jeff Gordon	Hendrick Motorsports	Chevrolet	300	317.4 (510.805)	2:49:55	112.078	Report
1999	September 19	Joe Nemechek	SABCO Racing	Chevrolet	300	317.4 (510.805)	3:09:10	100.673	Report
2000	September 17	Jeff Burton	Roush Racing	Ford	300	317.4 (510.805)	3:06:42	102.003	Report
2001	November 23*	Robby Gordon	Richard Childress Racing	Chevrolet	300	317.4 (510.805)	3:03:50	103.594	Report
2002	September 15	Ryan Newman	Penske Racing	Ford	207*	219.006 (352.455)	2:05:03	105.081	Report
2003	September 14	Jimmie Johnson	Hendrick Motorsports	Chevrolet	300	317.4 (510.805)	2:58:41	106.58	Report
2004	September 19	Kurt Busch	Roush Racing	Ford	300	317.4 (510.805)	2:53:31	109.753	Report
2005	September 18	Ryan Newman	Penske Racing	Dodge	300	317.4 (510.805)	3:18:36	95.891	Report
2006	September 17	Kevin Harvick	Richard Childress Racing	Chevrolet	300	317.4 (510.805)	3:06:21	102.195	Report
2007	September 16	Clint Bowyer	Richard Childress Racing	Chevrolet	300	317.4 (510.805)	2:52:23	110.475	Report
2008	September 14	Greg Biffle	Roush Fenway Racing	Ford	300	317.4 (510.805)	3:00:34	105.468	Report
2009	September 20	Mark Martin	Hendrick Motorsports	Chevrolet	300	317.4 (510.805)	3:09:01	100.753	Report
2010	September 19	Clint Bowyer *	Richard Childress Racing	Chevrolet	300	317.4 (510.805)	2:58:22	106.769	Report
2011	September 25	Tony Stewart	Stewart-Haas Racing	Chevrolet	300	317.4 (510.805)	2:43:13	116.679	Report
2012	September 23	Denny Hamlin	Joe Gibbs Racing	Toyota	300	317.4 (510.805)	2:43:02	116.81	Report
