Player	Country	Year(s) won	Total	To par
Fuzzy Zoeller	United States	1979	149	+5
Charles Coody	United States	1971	151	+7
Tom Watson	United States	1977 , 1981	151	+7
Ben Crenshaw	United States	1984 , 1995	153	+9
Nick Faldo	England	1989 , 1990 , 1996	153	+9
Seve Ballesteros	Spain	1980 , 1983	156	+12
Gary Player	South Africa	1961 , 1974 , 1978	158	+14
Tommy Aaron	United States	1973	159	+14
Arnold Palmer	United States	1958 , 1960 , 1962 , 1962	161	+17
Gay Brewer	United States	1967	WD	+8
Billy Casper	United States	1970	WD	+14
Doug Ford	United States	1957	WD	+16
