Place	Nation	First Exercise	Second Exercise	Total
1	Bulgaria	20.000	20.000	40.000
2	USSR	19.300	19.900	39.200
3	China	19.600	19.050	38.650
4	Spain	19.450	19.200	38.650
5	Japan	19.350	18.700	38.050
6	Italy	18.950	18.900	37.850
7	Finland	18.900	18.850	37.750
8	Czechoslovakia	19.100	18.400	37.500
9	Hungary	18.200	19.100	37.300
9	North Korea	17.900	19.400	37.00
11	France	17.750	19.150	36.900
12	Norway	17.950	18.600	36.550
13	Norway	17.950	18.600	36.550
14	Canada	18.350	18.000	36.350
15	The Netherlands	18.000	18.200	36.200
16	Switzerland	17.650	18.500	36.150
17	West Germany	17.900	17.950	35.850
18	USA	16.850	18.650	35.500
19	Brazil	16.800	18.250	35.050
20	New Zealand	17.400	17.400	34.800
