Place	Player	Country	Score	To par	Money ( $ )
1	Ralph Guldahl	United States	74-70-71-69=284	E	1,000
2	Dick Metz	United States	73-68-70-79=290	+6	800
T3	Harry Cooper	England United States	76-69-76-71=292	+8	650
T3	Toney Penna	Italy United States	78-72-74-68=292	+8	650
T5	Byron Nelson	United States	77-71-74-72=294	+10	412
T5	Emery Zimmerman	United States	72-71-73-78=294	+10	412
T7	Frank Moore	United States	79-73-72-71=295	+11	216
T7	Henry Picard	United States	70-70-77-78=295	+11	216
T7	Paul Runyan	United States	78-71-72-74=295	+11	216
10	Gene Sarazen	United States	74-74-75-73=296	+12	106
