Network	Origin of Programming	Language	Genre	Service
Adithya TV	India	Tamil	Comedy	Astro
Astro Vaanavil	Malaysia	Tamil	General	Astro
Astro Vellithirai	Malaysia	Tamil	Movies	Astro
ATN Bangla	Bangladesh	Bengali	General	ABN Xcess
Banglavision	Bangladesh	Bengali	General	ABN Xcess
Captain TV	India	Tamil	General	ABN Xcess
Channel i	Bangladesh	Bengali	General	ABN Xcess
Chutti TV	India	Tamil	Kids	Astro
ETV2	India	Telugu	News	ABN Xcess
ETV Network	India	Telugu	General	ABN Xcess
Hum TV	Pakistan	Urdu	General	ABN Xcess
Jaya Max	India	Tamil	Music	Hypp.TV
Jaya TV	India	Tamil	General	Astro
Kairali TV	India	Malayalam	General	ABN Xcess
Kairali People	India	Malayalam	News	ABN Xcess
Kairali We	India	Malayalam	Teenage	ABN Xcess
Kalaignar TV	India	Tamil	General	Astro
MAA TV	India	Telugu	General	ABN Xcess
MAA Movie	India	Telugu	Movie	ABN Xcess
MAA Music	India	Telugu	Music	ABN Xcess
Makkal TV	India	Tamil	General	Astro
Moon TV	India	Tamil	Religious	ABN Xcess
Polimer TV	India	Tamil	General	Hypp.TV
PTV Home	Pakistan	Urdu	General	ABN Xcess
Raj TV	India	Tamil	General	Astro
Reporter TV	India	Malayalam	News	ABN Xcess
Sahana Asathal	Malaysia	Tamil	Comedy	ABN Xcess
Sahana Isai	Malaysia	Tamil	Music	ABN Xcess
Sahana Thangam	Malaysia	Tamil	Movie	ABN Xcess
SET	India	Hindi	General	ABN Xcess
SET Max	India	Hindi	Movies/Cricket	Hypp.TV
SET Max	India	Hindi	Movies/Cricket	ABN Xcess
Sun Music	India	Tamil	Music	Astro
Sun TV	India	Tamil	General	Astro
Thanthi TV	India	Tamil	News	ABN Xcess
UTV Bindass	India	Hindi	Teenage	Hypp.TV
UTV Bindass	India	Hindi	Teenage	ABN Xcess
UTV Movies	India	Hindi	Movies	Hypp.TV
UTV Stars HD	India	Hindi	Movies	Hypp.TV
Vasanth TV	India	Tamil	General	ABN Xcess
Vijay	India	Tamil	General	Astro
Win TV	India	Tamil	Tamil	ABN Xcess
Zee Variasi	India	Hindi	General	Astro
Zoom	India	Hindi	General	ABN Xcess
