Player	Height	Position	Year born	Current Club
Stepán Vrubl	1.86	Guard	1976	A Plus Brno
Pavel Benes	1.90	Guard	1975	Nymburk
Maurice Whitfield	1.86	Guard	1973	Olympiada Patras
Michal Kremen	2.00	Forward	1981	Nymburk
Lukás Kraus	2.01	Forward	1984	Liberec
Jiří Welsch	1.97	Guard	1980	Unicaja
Ladislav Sokolovsky	2.00	Forward	1977	Nymburk
Luboš Bartoň	2.02	Forward	1980	DKV Joventut
Radek Necas	2.04	Forward	1980	Nymburk
Petr Benda	2.04	Center	1982	Nymburk
Jakub Houška	2.06	Center	1982	Děčín
Ondrej Starosta	2.15	Center	1979	Basket CAI Zaragoza
