Engine code	Displacement	Power, Torque@rpm	Redline (rpm)	Year
M57D25	cc (L; cu in)	PS (kW; hp)@4000, N·m (lb·ft)@2000-2500	4750	2000
M57TUD25	cc (L; cu in)	PS (kW; hp)@4000, N·m (lb·ft)@2000-2750	4500	2004
M57D30	cc (L; cu in)	PS (kW; hp)@4000, N·m (lb·ft)@1750-3200	4500	1998
M57D30	cc (L; cu in)	PS (kW; hp)@4000, N·m (lb·ft)@2000-3000	4500	1998
M57D30	cc (L; cu in)	PS (kW; hp)@4000, N·m (lb·ft)@1750-3000	4500	2000
M57TUD30	cc (L; cu in)	PS (kW; hp)@4000, N·m (lb·ft)@1500-3250	5000	2003
M57TUD30	cc (L; cu in)	PS (kW; hp)@4000, N·m (lb·ft)@2000-2750	5000	2002
M57TUD30	cc (L; cu in)	PS (kW; hp)@4000, N·m (lb·ft)@2000-2250	5000	2004
M57TU2D30	cc (L; cu in)	PS (kW; hp)@4000, N·m (lb·ft)@2000-2750	5000	2005
M57TU2D30	cc (L; cu in)	PS (kW; hp)@4000, N·m (lb·ft)@2000-2250	5000	2004
