Municipality (2010)	White (both Hispanic and Non-Hispanic)	Black (Both Hispanic and Non-Hispanic)	Amerindian (Both Hispanic and Non-Hispanic)	n Asia (Both Hispanic and Non-Hispanic)	Multiracial (Both Hispanic and Non-Hispanic)	Hispanic (Of any Race)
Adjuntas	93.1	3.1	0.3	0.0	3.4	99.6
Aguada	86.6	5.3	0.3	0.1	7.7	99.4
Aguadilla	83.0	7.4	0.3	0.2	8.2	98.5
Aguas Buenas	72.5	12.6	0.6	0.1	14.2	99.5
Aibonito	83.5	7.3	0.2	0.0	9.0	99.3
Añasco	82.0	7.2	0.4	0.1	10.3	99.2
Arecibo	84.5	6.1	0.4	0.1	7.9	99.2
Arroyo	53.5	32.5	0.9	0.2	13.0	99.1
Barceloneta	80.7	7.6	0.3	0.1	11.2	99.4
Barranquitas	86.0	5.4	0.3	0.0	8.3	99.3
Bayamón	78.3	10.3	0.6	0.2	10.7	99.0
Cabo Rojo	84.1	5.4	0.3	0.1	10.1	98.9
Caguas	76.1	11.0	0.6	0.2	12.1	99.1
Camuy	87.9	4.1	0.3	0.1	7.6	99.4
Canóvanas	61.2	21.6	0.9	0.2	16.1	99.2
Carolina	64.3	22.8	0.9	0.4	11.7	98.6
Cataño	70.7	14.4	1.0	0.3	13.7	99.0
Cayey	79.9	8.3	0.4	0.1	11.3	99.3
Ceiba	70.6	16.5	0.7	0.1	12.0	98.8
Ciales	89.5	4.2	0.1	0.0	6.2	99.7
Cidra	76.6	8.3	0.4	0.1	14.6	99.4
Coamo	76.8	10.4	0.3	0.1	12.3	99.6
Comerío	78.6	8.6	0.6	0.1	12.1	99.6
Corozal	85.4	5.3	0.2	0.1	9.0	99.4
Culebra	56.9	26.6	0.9	0.2	15.4	91.7
Dorado	69.5	15.7	0.7	0.2	13.9	98.0
Fajardo	64.8	18.6	0.7	0.3	15.7	98.2
Florida	90.4	4.6	0.3	0.1	4.5	99.6
Guánica	79.9	7.7	0.5	0.0	11.8	99.4
Guayama	68.2	18.5	0.8	0.1	12.3	99.1
Guayanilla	81.9	8.3	0.4	0.1	9.3	99.5
Guaynabo	79.4	9.8	0.4	0.2	10.1	98.2
Gurabo	72.5	14.6	0.4	0.1	12.5	99.2
Hatillo	87.3	4.4	0.2	0.1	8.0	99.2
Hormigueros	81.2	8.3	0.4	0.1	10.0	99.5
Humacao	66.1	18.5	0.8	0.2	14.3	99.0
Isabela	83.4	7.5	0.3	0.1	8.6	99.0
Jayuya	90.7	3.4	0.4	0.1	5.5	99.6
Juana Díaz	75.3	14.3	0.5	0.1	9.9	99.4
Juncos	71.7	13.7	0.5	0.1	14.1	99.3
Lajas	80.6	5.2	0.2	0.1	13.9	99.3
Lares	91.1	3.0	0.2	0.1	5.6	99.3
Las Marías	86.3	5.3	0.4	0.0	8.0	99.4
Las Piedras	70.5	11.8	0.5	0.1	17.1	99.4
Loíza	26.5	64.3	0.5	0.1	8.6	99.4
Luquillo	65.5	20.8	0.9	0.2	12.6	97.9
Manatí	81.8	8.7	0.5	0.1	8.9	99.2
Maricao	89.2	4.8	0.4	0.0	5.3	99.4
Maunabo	47.9	30.4	0.8	0.1	20.8	99.2
Mayagüez	78.7	8.2	0.8	0.2	12.1	98.9
Moca	89.5	4.5	0.2	0.1	5.8	99.4
Morovis	88.4	5.2	0.2	0.1	6.1	99.4
Naguabo	71.1	15.9	0.4	0.2	12.4	99.2
Naranjito	84.2	6.0	0.5	0.1	9.4	99.5
Orocovis	86.7	6.2	0.4	0.1	6.6	99.6
Patillas	61.7	19.9	0.6	0.1	17.7	99.3
Peñuelas	81.8	9.2	0.4	0.2	8.4	99.4
Ponce	82.0	9.0	0.5	0.2	8.3	99.2
Quebradillas	89.2	3.7	0.1	0.1	6.9	99.3
Rincón	85.7	5.3	0.5	0.2	8.2	96.4
Río Grande	61.9	24.6	0.7	0.2	12.6	99.0
Sabana Grande	85.3	5.5	0.4	0.0	8.8	99.5
Salinas	67.4	16.4	0.6	0.1	15.5	99.3
San Germán	83.4	5.6	0.4	0.1	10.5	99.2
San Juan	68.0	18.6	0.8	0.4	12.2	98.2
San Lorenzo	76.1	9.9	0.8	0.1	13.2	99.5
San Sebastián	88.5	3.0	0.3	0.1	8.1	99.3
Santa Isabel	73.0	15.6	0.5	0.1	10.9	99.6
Toa Alta	76.3	9.6	0.4	0.1	13.5	99.3
Toa Baja	70.2	16.8	0.6	0.3	12.1	99.0
Trujillo Alto	72.1	14.6	0.7	0.2	12.3	98.9
Utuado	92.7	2.7	0.2	0.1	4.3	99.4
Vega Alta	71.2	14.9	0.7	0.2	13.1	98.7
Vega Baja	77.3	11.5	0.5	0.1	10.6	99.3
Vieques	58.7	28.1	0.7	0.1	12.5	94.3
Villalba	82.1	8.5	0.2	0.0	9.1	99.7
Yabucoa	65.6	14.1	0.5	0.2	19.8	99.3
Yauco	83.0	5.9	0.3	0.1	9.6	99.5
Puerto Rico	75.8	12.4	0.5	0.2	11.1	99.0
