Year	Award	Category	Work	Result
1996	International Horror Guild	Best Film	Scream	Won
1996	Saturn Award	Best Actress	Neve Campbell	Won
1996	Saturn Award	Best Direction	Wes Craven	Nominated
1996	Saturn Award	Best Horror Film	Scream	Won
1996	Saturn Award	Best Supporting Actor	Skeet Ulrich	Nominated
1996	Saturn Award	Best Supporting Actress	Drew Barrymore	Nominated
1996	Saturn Award	Best Writing	Kevin Williamson	Won
1997	MTV Movie Award	Best Female Performance	Neve Campbell	Nominated
1997	MTV Movie Award	Best Movie	Scream	Won
1997	Gérardmer Film Festival	Grand Prize	Wes Craven	Won
