Date	Ship	Tonnage	Nationality	Fate
In U-60	In U-60	In U-60	In U-60	In U-60
13 August 1940	Nils Gorthon	1,787	Sweden	Sunk
31 August 1940	Volendam	15,434	Netherlands	Damaged
3 September 1940	Ulva	1,401	United Kingdom	Sunk
In U-201	In U-201	In U-201	In U-201	In U-201
2 May 1941	Capulet	8,190	United Kingdom	Sunk
9 May 1941	Empire Cloud	5,969	United Kingdom	Damaged
9 May 1941	Gregalia	5,802	United Kingdom	Sunk
19 August 1941	Aguila	3,255	United Kingdom	Sunk
19 August 1941	Ciscar	1,809	United Kingdom	Sunk
23 August 1941	Aldergrove	1,974	United Kingdom	Sunk
23 August 1941	Stork	787	United Kingdom	Sunk
21 September 1941	Lissa	1,511	United Kingdom	Sunk
21 September 1941	Rhineland	1,381	United Kingdom	Sunk
21 September 1941	Runa	1,575	United Kingdom	Sunk
27 September 1941	Cervantes	1,810	United Kingdom	Sunk
27 September 1941	HMSSpringbank	5,155	United Kingdom	Sunk
27 September 1941	Margareta	3,103	United Kingdom	Sunk
18 April 1942	Victoria	7,417	Argentina	Damaged
21 April 1942	Bris	2,027	Norway	Sunk
22 April 1942	Derryheen	7,217	United Kingdom	Sunk
22 April 1942	San Jacinto	6,069	United States	Sunk
6 July 1942	Avila Star	14,443	United Kingdom	Sunk
12 July 1942	Cortona	7,093	United Kingdom	Sunk
12 July 1942	Siris	5,242	United Kingdom	Sunk
13 July 1942	Sithonia	6,723	United Kingdom	Sunk
15 July 1942	British Yeoman	6,990	United Kingdom	Sunk
25 July 1942	HMSLaertes	545	United Kingdom	Sunk
