Opposing Teams	Against	Date	Venue	Status
Ireland	18	05/02/2000	Twickenham , London	Six Nations
France	9	19/02/2000	Stade de France , Saint-Denis	Six Nations
Wales	12	04/03/2000	Twickenham , London	Six Nations
Italy	12	18/03/2000	Stadio Flaminio , Rome	Six Nations
Scotland	19	02/04/2000	Murrayfield , Edinburgh	Six Nations
South Africa	18	17/06/2000	Loftus Versfeld , Pretoria	First Test
South Africa	22	24/06/2000	Vodacom Park , Bloemfontein	Second Test
Australia	19	18/11/2000	Twickenham , London	Test Match
Argentina	0	25/11/2000	Twickenham , London	Test Match
South Africa	17	02/12/2000	Twickenham , London	Test Match
