Place	Code	Area (km 2 )	Population	Most spoken language
Alldays	90901	11.75	385	Northern Sotho
Bahanawa	90902	390.17	19,068	Northern Sotho
Bahanawa-Ba-Kibi	90903	163.78	7,763	Northern Sotho
Bochum Part 1	90912	4.33	8,501	Northern Sotho
Bochum Part 2	90905	182.33	15,911	Northern Sotho
Dichoeng	90906	58.29	17,347	Northern Sotho
Manthata	90907	1,335.47	72,175	Northern Sotho
Matlala	90908	180.83	8,697	Northern Sotho
Pietersburg	90909	1.33	3,818	Northern Sotho
Ramutla	90910	7.81	1,047	Northern Sotho
Seshego	90911	6.00	1,058	Northern Sotho
Remainder of the municipality	90904	2,198.72	5,539	Northern Sotho
