Rank	Country	UNWTO Region	International tourism expenditure (2012)	International tourism expenditure (2011)
1	China	Asia	$102.0 billion	$72.6 billion
2	Germany	Europe	$83.8 billion	$85.9 billion
3	United States	North America	$83.5 billion	$78.2 billion
4	United Kingdom	Europe	$52.3 billion	$51.0 billion
5	Russia	Europe	$42.8 billion	$32.9 billion
6	France	Europe	$37.2 billion	$44.1 billion
7	Canada	North America	$35.1 billion	$33.3 billion
8	Japan	Asia	$27.9 billion	$27.2 billion
9	Australia	Oceania	$27.6 billion	$26.7 billion
10	Italy	Europe	$26.4 billion	$28.7 billion
