City	Country	IATA	ICAO	Airport
Alexandria	Egypt	HBE	HEBA	Borg El Arab Airport [T]
Amman	Jordan	AMM	OJAI	Queen Alia International Airport [T]
Athens	Greece	ATH	LGAV	Athens International Airport [T]
Bahrain	Bahrain	BAH	OBBI	Bahrain International Airport [T]
Kuwait City	Kuwait	KWI	OKBK	Kuwait International Airport [Base]
Beirut	Lebanon	BEY	OLBA	Beirut Rafic Hariri International Airport
Cairo	Egypt	CAI	HECA	Cairo International Airport
Damascus	Syria	DAM	OSDI	Damascus International Airport [T]
Dubai	United Arab Emirates	DXB	OMDB	Dubai International Airport
Istanbul	Turkey	IST	LTBA	Istanbul Atatürk Airport
Jeddah	Saudi Arabia	JED	OEJN	King Abdul Aziz International Airport [T]
Rome	Italy	FCO	LIRF	Leonardo da Vinci-Fiumicino Airport [T]
Sharm el-Sheikh	Egypt	SSH	HESH	Sharm el-Sheikh International Airport
Vienna	Austria	VIE	LOWW	Vienna International Airport
