Team	First NHL season	Last NHL season	Seasons completed	Playoff appearances	Series won	Finals appearances	Division titles	Conference titles	Stanley Cup Championships
Montreal Canadiens	1917–18	Active	91	76	86	34	30	5	23
Montreal Wanderers	1917–18	1917–18 (Defunct)	0	0	0	0	0	0	0
Ottawa Senators (Original)	1917–18	1933–34 (Relocated)	17	10	8	4	8	0	4
Toronto Maple Leafs	1917–18	Active	91	63	57	21	9	0	13
Quebec Bulldogs	1919–20	1919–20 (Relocated)	1	0	0	0	0	0	0
Hamilton Tigers	1920–21	1924–25 (Defunct)	5	0	0	0	0	0	0
Boston Bruins	1924–25	Active	84	62	47	18	24	0	6
Montreal Maroons	1924–25	1937–38 (Defunct)	14	11	10	3	3	0	2
New York Americans	1925–26	1941–42 (Defunct)	17	5	2	0	0	0	0
Pittsburgh Pirates	1925–26	1929–30 (Relocated)	5	2	0	0	0	0	0
Chicago Blackhawks	1926–27	Active	82	53	40	11	14	2	5
Detroit Red Wings	1926–27	Active	82	57	61	23	17	5	11
New York Rangers	1926–27	Active	82	53	42	10	4	2	4
Philadelphia Quakers	1930–31	1930–31 (Defunct)	1	0	0	0	0	0	0
St. Louis Eagles	1934–35	1934–35 (Defunct)	1	0	0	0	0	0	0
California Golden Seals	1967–68	1975–76 (Relocated)	9	2	0	0	0	0	0
Los Angeles Kings	1967–68	Active	41	23	11	2	1	1	1
Minnesota North Stars	1967–68	1992–93 (Relocated)	26	17	14	2	0	0	0
Philadelphia Flyers	1967–68	Active	41	33	43	8	16	8	2
Pittsburgh Penguins	1967–68	Active	41	24	24	4	6	4	3
St. Louis Blues	1967–68	Active	41	34	23	3	7	2	0
Buffalo Sabres	1970–71	Active	38	27	20	2	5	3	0
Vancouver Canucks	1970–71	Active	38	22	13	4	6	0	0
Atlanta Flames	1972–73	1979–80 (Relocated)	8	6	0	0	0	0	0
New York Islanders	1972–73	Active	36	22	30	5	7	3	4
Kansas City Scouts	1974–75	1975–76 (Relocated)	2	0	0	0	0	0	0
Washington Capitals	1974–75	Active	34	20	11	1	5	1	0
Cleveland Barons	1976–77	1977–78 (Defunct)	2	0	0	0	0	0	0
Colorado Rockies	1976–77	1981–82 (Relocated)	6	1	0	0	0	0	0
Edmonton Oilers	1979–80	Active	29	20	35	7	6	7	5
Hartford Whalers	1979–80	1996–97 (Relocated)	18	8	1	0	0	0	0
Quebec Nordiques	1979–80	1994–95 (Relocated)	16	9	6	0	0	0	0
Winnipeg Jets (Original)	1979–80	1995–96 (Relocated)	17	11	2	0	0	0	0
Calgary Flames	1980–81	Active	28	19	15	3	5	3	1
New Jersey Devils	1982–83	Active	26	18	22	5	7	4	3
San Jose Sharks	1991–92	Active	17	11	9	0	3	0	0
Ottawa Senators	1992–93	Active	16	11	8	1	4	1	0
Tampa Bay Lightning	1992–93	Active	16	5	5	1	2	1	1
Anaheim Ducks	1993–94	Active	15	6	11	2	1	2	1
Dallas Stars	1993–94	Active	15	12	14	2	7	2	1
Florida Panthers	1993–94	Active	15	3	3	1	0	1	0
Colorado Avalanche	1995–96	Active	13	10	18	2	8	2	2
Phoenix Coyotes	1996–97	Active	12	5	0	0	0	0	0
Carolina Hurricanes	1997–98	Active	11	4	7	2	3	2	1
Nashville Predators	1998–99	Active	10	4	0	0	0	0	0
Atlanta Thrashers	1999–2000	2010–2011 (Relocated)	9	1	0	0	1	0	0
Columbus Blue Jackets	2000–01	Active	8	1	0	0	0	0	0
Minnesota Wild	2000–01	Active	8	3	2	0	1	0	0
Winnipeg Jets	2011–12	Active	1	0	0	0	0	0	0
