Team	City	State	Home venue	Capacity
Bengaluru FC	Bangalore	Karnataka	Bangalore Football Stadium	40,000
Churchill Brothers	Salcette	Goa	Duler Stadium	6,000
Dempo	Panjim	Goa	Duler Stadium	6,000
East Bengal	Kolkata	West Bengal	Salt Lake Stadium	120,000
Mohammedan	Kolkata	West Bengal	Salt Lake Stadium	120,000
Mohun Bagan	Kolkata	West Bengal	Salt Lake Stadium	120,000
Mumbai	Mumbai	Maharashtra	Balewadi Sports Complex	20,000
Prayag United	Kolkata	West Bengal	Salt Lake Stadium	120,000
Pune	Pune	Maharashtra	Balewadi Sports Complex	20,000
Rangdajied United	Shillong	Meghalaya	Nehru Stadium	30,000
Salgaocar	Vasco da Gama	Goa	Duler Stadium	6,000
Shillong Lajong	Shillong	Meghalaya	Nehru Stadium	30,000
Sporting Clube de Goa	Panjim	Goa	Duler Stadium	6,000
