Surname	First	D.O.B.	Bats	Throws	Position
Brice	Tom	24 August 1981	L	L	OF
Cakebread	Josh	25 January 1985	L	R	IF
Challinor	John	31 January 1975	R	R	RHP
Cresswell	Jeremy	31 March 1987	R	R	IF
Fidge	Darren	12 November 1974	R	R	RHP
Fiebig	Tom	24 March 1989	R	R	RHP
Galpin	Simon	20 October 1980	R	R	OF
Golotta	Josh	27 April 1989	R	R	IF
Green	Tyler	27 May 1984	L	L	LHP
Langmann	Todd	11 October 1981	R	R	UTILITY
Lawson	Chris	3 May 1982	R	R	RHP
Merrill	Taj	11 December 1973	L	L	LHP
Mildren	Paul	3 May 1984	R	L	LHP
Pett	Brendan	24 September 1987	R	R	C
Redden	Daniel	16 February 1984	R	R	RHP
Rex	Jonathon	10 August 1985	R	R	RHP
Ruzic	Dushan	5 January 1982	R	R	RHP
Tols	Josh	6 October 1989	L	L	LHP
Welch	Stefan	12 August 1988	L	R	IF
Wigmore	Ben	17 January 1982	R	R	IF
Williams	Torey	12 May 1984	R	R	C
Wilson	Daniel	5 July 1984	L	R	UTILITY
