Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	Newman/Haas Racing	59.895	58.560	58.560
Paul Tracy	Forsythe Racing	1:00.067	58.622	58.622
Justin Wilson	RuSPORT	1:00.251	58.665	58.665
A. J. Allmendinger	Forsythe Racing	1:03.971	58.893	58.893
Oriol Servià	PKV Racing	1:01.321	59.324	59.324
Nelson Philippe	CTE Racing-HVM	1:00.675	59.510	59.510
Will Power (R)	Team Australia	—	59.539	59.539
Andrew Ranger	Mi-Jack Conquest Racing	1:01.672	1:00.071	1:00.071
Bruno Junqueira	Newman/Haas Racing	1:00.085	1:06.279	1:00.085
Mario Domínguez	Dale Coyne Racing	1:01.647	1:00.106	1:00.106
Alex Tagliani	Team Australia	1:01.461	1:00.110	1:00.110
Jan Heylen (R)	Dale Coyne Racing	1:01.603	1:00.199	1:00.199
Charles Zwolsman (R)	Mi-Jack Conquest Racing	1:01.393	1:00.291	1:00.291
Cristiano da Matta	RuSPORT	1:00.412	1:00.305	1:00.305
Katherine Legge (R)	PKV Racing	1:01.417	1:00.358	1:00.358
Nicky Pastorelli (R)	Rocketsports Racing	1:01.760	1:00.978	1:00.978
Dan Clarke (R)	CTE Racing-HVM	1:01.215	—	1:01.215
Tõnis Kasemets (R)	Rocketsports Racing	1:02.755	1:01.704	1:01.704
