Name	Position	Height	Weight	Year	Home Town
Anthony Tucker	Guard	6–4	200	Freshman	Minnetonka, MN
David Palmer	Center	6–9	240	Junior	Antioch, TN
J.R. Angle	Guard	6–7	215	Senior	Franklin, IN
Matt Gatens	Guard	6–5	215	Freshman	Iowa City, IA
Devan Bawinkel	Guard	6–5	210	Junior	Winnebago, IL
Andrew Brommer	Forward	6–9	235	Freshman	Rosemount, MN
Jermain Davis	Guard	6–4	200	Junior	Plymouth, MN
Aaron Fuller	Forward	6–6	210	Freshman	Mesa, AZ
Jeff Peterson	Guard	6–0	192	Sophomore	Springfield, MO
Jake Kelly	Guard	6–6	185	Sophomore	Carmel, IN
John Lickliter	Guard	5–11	175	Freshman	Iowa City, IA
Cyrus Tate	Forward	6–8	255	Senior	Chicago, IL
Jarryd Cole	Forward	6–7	250	Sophomore	Kansas City, MO
