Island	Group	Area ( ha )	Population	Height (m)
Auskerry	North Isles	00085 85	4	18
Brough of Birsay	Mainland	00016 16	0	42
Burray	South Isles	00903 903	409	80
Calf of Eday	North Isles	00243 243	0	54
Calf of Flotta	South Isles	00016 16	0	16
Cava	South Isles	00107 107	0	38
Copinsay	South Isles	00073 73	0	70
Damsay	North Isles	00018 18	0	11
Eday	North Isles	02745 2745	160	101
Egilsay	North Isles	00650 650	26	35
Eynhallow	North Isles	00075 75	0	30
Fara	South Isles	00295 295	0	43
Faray	North Isles	00180 180	0	32
Flotta	South Isles	00876 876	80	58
Gairsay	North Isles	00240 240	3	102
Glims Holm	South Isles	00055 55	0	32
Graemsay	South Isles	00409 409	28	62
Helliar Holm	North Isles	00035 35	0	28
Holm of Faray	North Isles	00027 27	0	19
Holm of Grimbister	North Isles	00016 16	3	8
Holm of Huip	North Isles	00024 24	0	18
Holm of Papa	North Isles	00021 21	0	15
Holm of Scockness	North Isles	00022 22	0	18
Hoy	South Isles	13468	419	479
Hunda	South Isles	00100 100	0	41
Inner Holm	South Isles	00002 2	1	7
Lamb Holm	South Isles	00040 40	See below	20
Linga Holm	North Isles	00057 57	0	18
Muckle Green Holm	North Isles	00028 28	0	28
Muckle Skerry	Pentland Skerries	00034 34	0	20
North Ronaldsay	North Isles	00690 690	72	23
Orkney Mainland	Mainland	52325	17162	271
Papa Stronsay	North Isles	00074 74	0	13
Papa Westray	North Isles	00918 918	90	48
Rousay	North Isles	04860 4860	216	250
Rysa Little	South Isles	00033 33	0	20
Sanday	North Isles	05043 5043	494	65
Shapinsay	North Isles	02948 2948	307	64
South Ronaldsay	South Isles	04980 4980	909	118
South Walls	South Isles	01100 1100	See Hoy	57
Start Point	North Isles	00024 24	0	8
Stronsay	North Isles	03275 3275	349	44
Switha	South Isles	00041 41	0	29
Sweyn Holm	North Isles	00017 17	0	15
Swona	South Isles	00092 92	0	41
Westray	North Isles	04713 4713	588	169
Wyre	North Isles	00311 311	29	32
