Game	December	Opponent	Score	Record	Points
27	4	Chicago Black Hawks	7–5	18–5–4	40
28	6	@ Detroit Red Wings	2–4	18–6–4	40
29	7	Colorado Rockies	4–2	19–6–4	42
30	10	@ Chicago Black Hawks	2–2	19–6–5	43
31	13	@ Pittsburgh Penguins	6–5	20–6–5	45
32	14	St. Louis Blues	5–4	21–6–5	47
33	18	Colorado Rockies	2–0	22–6–5	49
34	20	@ Washington Capitals	5–2	23–6–5	51
35	21	Washington Capitals	0–6	23–7–5	51
36	27	@ Calgary Flames	1–2	23–8–5	51
37	28	@ Edmonton Oilers	2–1	24–8–5	53
38	30	@ Minnesota North Stars	5–6	24–9–5	53
