Player	G	Solo TK	Asst. TK	Total TK	Sack	YdL	INT	Yards	ForFum	FumRec	TD
LaRon Landry	7	53	15	68	1.0	8	1	0	1	1	0
London Fletcher	7	43	25	68	2.0	13	0	0	1	0	0
DeAngelo Hall	7	37	20	57	0.0	0	6	92	1	1	2
Rocky McIntosh	6	34	20	54	2.0	11	0	0	0	0	0
Reed Doughty	7	21	18	42	0.0	0	0	0	2	0	0
Carlos Rogers	7	29	6	35	0.0	0	1	5	1	0	0
Brian Orakpo	7	17	6	23	7.0	35	0	0	2	0	0
Kareem Moore	5	12	11	23	0.0	0	1	5	0	2	0
Lorenzo Alexander	7	11	8	19	2.0	11	0	0	2	1	0
Andre Carter	7	9	10	19	1.0	7	0	0	1	1	0
Phillip Buchanon	7	15	3	18	0.0	0	0	0	0	0	0
Adam Carriker	7	8	7	15	1.0	2	0	0	0	0	0
Kedric Golston	7	7	6	13	0.0	0	0	0	0	0	0
Maake Kemoeatu	7	10	3	13	0.0	0	0	0	0	0	0
Vonnie Holliday	5	3	8	11	1.0	2	0	0	0	0	0
Mike Sellers	7	9	0	9	0.0	0	0	0	0	0	0
Chris Wilson	7	6	3	9	0.0	0	0	0	3	0	0
Chris Horton	6	6	3	9	0.0	0	0	0	3	0	0
Albert Haynesworth	4	7	2	9	1.0	10	0	0	0	0	0
H.B. Blades	7	2	4	6	0.0	0	0	0	0	0	0
Phillip Daniels	6	5	0	5	1.0	2	0	0	0	0	0
Byron Westbrook	6	4	0	4	0.0	0	0	0	0	1	0
Anthony Armstrong	5	2	2	4	0.0	0	0	0	0	0	0
Roydell Williams	6	2	1	3	0.0	0	0	0	0	0	0
Fred Davis	6	1	1	2	0.0	0	0	0	0	0	0
Darrel Young	6	2	0	2	0.0	0	0	0	0	0	0
Jeremy Jarmon	2	1	1	2	0.0	0	0	0	0	0	0
Donovan McNabb	6	1	0	1	0.0	0	50	0	0	1	0
Santana Moss	6	1	0	1	0.0	0	0	0	0	0	0
Artis Hicks	6	1	0	1	0.0	0	0	0	0	0	0
Ryan Torain	4	1	0	1	0.0	0	0	0	0	0	0
Chad Simpson	3	1	0	1	0.0	0	0	0	0	0	0
Nick Sundberg	6	1	0	1	0.0	0	0	0	0	0	0
Trent Williams	4	1	0	1	0.0	0	0	0	0	0	0
Perry Riley	2	1	0	1	0.0	0	0	0	0	0	0
