Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Apr 13, 1997	Masters Tournament	–18 (70-66-65-69=270)	12 strokes	Tom Kite
Jan 25, 1998	Johnnie Walker Classic	–9 (72-71-71-65=279)	Playoff	Ernie Els
May 24, 1999	Deutsche Bank - SAP Open TPC of Europe	–15 (69-68-68-68=273)	3 strokes	Retief Goosen
Aug 15, 1999	PGA Championship	–11 (70-67-68-72=277)	1 stroke	Sergio García
Aug 29, 1999	NEC Invitational	–10 (66-71-62-71=270)	1 stroke	Phil Mickelson
Nov 11, 1999	American Express Championship	–6 (71-69-70-68=278)	Playoff	Miguel Ángel Jiménez
Jun 18, 2000	U.S. Open	–12 (65-69-71-67=272)	15 strokes	Ernie Els , Miguel Ángel Jiménez
Jul 23, 2000	The Open Championship	–19 (67-66-67-69=269)	8 strokes	Thomas Bjørn , Ernie Els
Aug 20, 2000	PGA Championship (2)	–18 (66-67-70-67=270)	Playoff	Bob May
Aug 27, 2000	NEC Invitational (2)	–21 (64-61-67-67=259)	11 strokes	Justin Leonard , Phillip Price
Nov 19, 2000	Johnnie Walker Classic (2)	–25 (68-65-65-65=263)	3 strokes	Geoff Ogilvy
Apr 8, 2001	Masters Tournament (2)	–16 (70-66-68-68=272)	2 strokes	David Duval
May 20, 2001	Deutsche Bank - SAP Open TPC of Europe (2)	–22 (69-68-63-66=266)	4 strokes	Michael Campbell
Aug 26, 2001	NEC Invitational (3)	–12 (66-67-66-69=268)	Playoff	Jim Furyk
Apr 14, 2002	Masters Tournament (3)	–12 (70-69-66-71=276)	3 strokes	Retief Goosen
May 19, 2002	Deutsche Bank - SAP Open TPC of Europe (3)	–20 (69-67-64-68=268)	Playoff	Colin Montgomerie
Jun 16, 2002	U.S. Open (2)	–3 (67-68-70-72=277)	3 strokes	Phil Mickelson
Sep 22, 2002	American Express Championship (2)	–25 (65-65-67-66=263)	1 stroke	Retief Goosen
Mar 2, 2003	Accenture Match Play Championship	( see above )	N/A	David Toms
Oct 5, 2003	American Express Championship (3)	–6 (67-66-69-72=274)	2 strokes	Stuart Appleby , Tim Herron , Vijay Singh
Feb 29, 2004	Accenture Match Play Championship (2)	( see above )	N/A	Davis Love III
Apr 10, 2005	Masters Tournament (4)	–12 (74-66-65-71=276)	Playoff	Chris DiMarco
Jul 17, 2005	The Open Championship (2)	–14 (66-67-71-70=274)	5 strokes	Colin Montgomerie
Aug 21, 2005	NEC Invitational (4)	–6 (66-70-67-71=274)	1 stroke	Chris DiMarco
Oct 9, 2005	American Express Championship (4)	–10 (67-68-68-67=270)	Playoff	John Daly
Feb 5, 2006	Dubai Desert Classic	–19 (67-66-67-69=269)	Playoff	Ernie Els
Jul 23, 2006	The Open Championship (3)	–18 (67-65-71-67=270)	2 strokes	Chris DiMarco
Aug 20, 2006	PGA Championship (3)	–18 (69-68-65-68=270)	5 strokes	Shaun Micheel
Aug 27, 2006	Bridgestone Invitational (5)	–10 (67-64-71-68=270)	Playoff	Stewart Cink
Oct 1, 2006	American Express Championship (5)	–23 (63-64-67-67=261)	8 strokes	Ian Poulter , Adam Scott
Mar 25, 2007	CA Championship (6)	–10 (71-66-68-73=278)	2 strokes	Brett Wetterich
Aug 5, 2007	Bridgestone Invitational (6)	−8 (68-70-69-65=272)	8 strokes	Justin Rose , Rory Sabbatini
Aug 12, 2007	PGA Championship (4)	–8 (71-63-69-69=272)	2 strokes	Woody Austin
Feb 3, 2008	Dubai Desert Classic (2)	–14 (65-71-73-65=274)	1 stroke	Martin Kaymer
Feb 24, 2008	Accenture Match Play Championship (3)	( see above )	N/A	Stewart Cink
Jun 16, 2008	U.S. Open (3)	–1 (72-68-70-73=283)	Playoff	Rocco Mediate
Aug 9, 2009	Bridgestone Invitational (7)	−12 (68-70-65-65=268)	4 strokes	Robert Allenby , Pádraig Harrington
Nov 15, 2009	JBWere Masters	–14 (66-68-72-68=274)	2 strokes	Greg Chalmers
Mar 10, 2013	Cadillac Championship (7)	–19 (66-65-67-71=269)	2 strokes	Steve Stricker
Aug 4, 2013	Bridgestone Invitational (8)	−15 (66-61-68-70=265)	7 strokes	Keegan Bradley , Henrik Stenson
