Week	Date	Opponent	Result	Attendance
1	September 3, 1978	at Seattle Seahawks	W 24–20	55,778
2	September 10, 1978	Oakland Raiders	L 21–20	51,653
3	September 17, 1978	at Denver Broncos	L 27–14	74,983
4	September 24, 1978	Green Bay Packers	L 24–3	42,755
5	October 1, 1978	at New England Patriots	L 28–23	60,781
6	October 8, 1978	Denver Broncos	W 23–0	50,077
7	October 15, 1978	Miami Dolphins	L 28–21	50,637
8	October 22, 1978	at Detroit Lions	L 31–14	54,031
9	October 29, 1978	at Oakland Raiders	W 27–23	52,612
10	November 5, 1978	Cincinnati Bengals	W 22–13	43,639
11	November 12, 1978	Kansas City Chiefs	W 29–23	41,395
12	November 19, 1978	at Minnesota Vikings	W 13–7	38,859
13	November 26, 1978	at Kansas City Chiefs	L 23–0	26,248
14	December 4, 1978	Chicago Bears	W 40–7	48,492
15	December 10, 1978	Seattle Seahawks	W 37–10	49,975
16	December 17, 1978	at Houston Oilers	W 45–24	49,554
