Place	Player	Country	Score	To par	Money ( £ )
1	Seve Ballesteros	Spain	69-68-70-69=276	–12	55,000
T2	Bernhard Langer	West Germany	71-68-68-71=278	–10	31,900
T2	Tom Watson	United States	71-68-66-73=278	–10	31,900
T4	Fred Couples	United States	70-69-74-68=281	–7	19,800
T4	Lanny Wadkins	United States	70-69-73-69=281	–7	19,800
T6	Nick Faldo	England	69-68-76-69=282	–6	16,390
T6	Greg Norman	Australia	67-74-74-67=282	–6	16,390
8	Mark McCumber	United States	74-67-72-70=283	–5	14,300
T9	Hugh Baiocchi	South Africa	72-70-70-72=284	–4	11,264
T9	Ian Baker-Finch	Australia	68-66-71-79=284	–4	11,264
T9	Graham Marsh	Australia	70-74-73-67=284	–4	11,264
T9	Ronan Rafferty	Northern Ireland	74-72-67-71=284	–4	11,264
T9	Sam Torrance	Scotland	74-74-66-70=284	–4	11,264
