Place	Player	Country	Score	To par
1	Colin Montgomerie	Scotland	65-70=135	−7
2	Pierre Fulke	Sweden	69-67=136	−6
T3	Joe Ogilvie	United States	69-68=137	−5
T3	Greg Owen	England	69-68=137	−5
T3	Jesper Parnevik	Sweden	69-68=137	−5
T6	Alex Čejka	Germany	69-69=138	−4
T6	Niclas Fasth	Sweden	69-69=138	−4
T6	Eduardo Romero	Argentina	70-68=138	−4
T9	Billy Andrade	United States	69-70=139	−3
T9	Darren Clarke	Northern Ireland	70-69=139	−3
T9	Brad Faxon	United States	68-71=139	−3
T9	Raphaël Jacquelin	France	71-68=139	−3
T9	Mark O'Meara	United States	70-69=139	−3
T9	Rory Sabbatini	South Africa	70-69=139	−3
T9	Des Smyth	Ireland	74-65=139	−3
T9	Tiger Woods	United States	71-68=139	−3
