Player	Club	League	FA Cup	FA Trophy	League Cup	Total
Lee Hughes	Kidderminster Harriers	30	1	2	1	34
Lennie Dennis	Welling United	21	1	1	2	25
Andy Whittaker	Southport	19	6	2	0	27
Gary Abbott	Slough Town	18	0	0	0	18
Justin Jackson	Woking	17	4	2	0	23
Barry Hayles	Stevenage Borough	16	3	2	0	21
David Leworthy	Rushden & Diamonds	16	4	0	0	20
Lee Steele	Northwich Victoria	16	0	0	0	16
Joe O'Connor	Hednesford	15	9	0	0	24
Paul Thompson	Gateshead	15	6	1	1	23
Clive Walker	Woking	15	3	1	0	19
Steve Wood	Macclesfield Town	15	0	0	1	16
Mike Davis	Bath City	14	7	0	0	21
Neil Doherty	Kidderminster Harriers	14	1	1	0	16
Niell Hardy	Altrincham	14	3	1	0	18
Mickey Norbury	Halifax Town	14	0	0	0	14
Carl Alford	Rushden & Diamonds	13	2	0	0	15
Ian Arnold	Stalybridge Celtic	13	0	0	0	13
Chris Boothe	Farnborough Town	13	9	0	3	25
Martin Randall	Hayes	13	0	4	0	17
Phil Wingfield	Farnborough Town	13	2	1	0	16
