Abbr	Canton	Capital	Density (per km²)	No. munic.	s Official language
ZH	Zurich	Zurich	701	171	German
BE	Bern	Bern	158	383	German , French
LU	Lucerne	Lucerne	233	87	German
UR	Uri	Altdorf	33	20	German
SZ	Schwyz	Schwyz	143	30	German
OW	Obwalden	Sarnen	66	7	German
NW	Nidwalden	Stans	138	11	German
GL	Glarus	Glarus	51	3	German
ZG	Zug	Zug	416	11	German
FR	Fribourg	Fribourg	141	167	French , German
SO	Solothurn	Solothurn	308	122	German
BS	Basel-Stadt	Basel	5,072	3	German
BL	Basel-Landschaft	Liestal	502	86	German
SH	Schaffhausen	Schaffhausen	246	27	German
AR	Appenzell Ausserrhoden	Herisau	220	20	German
AI	Appenzell Innerrhoden	Appenzell	87	6	German
SG	St. Gallen	St. Gallen	222	85	German
GR	Graubünden	Chur	26	180	German , Romansh , Italian
AG	Aargau	Aarau	388	220	German
TG	Thurgau	Frauenfeld	229	80	German
TI	Ticino	Bellinzona	110	157	Italian
VD	Vaud	Lausanne	188	339	French
VS	Valais	Sion	53	143	French , German
NE	Neuchâtel	Neuchâtel	206	53	French
GE	Geneva	Geneva	1,442	45	French
JU	Jura	Delémont	82	64	French
CH	Switzerland	Bern	174	2,596	German , French , Italian , Romansh
