Week	Date	Opponent	Location	Final Score	Attendance	Record
1	August 19	@ Rough Riders	Landsdowne Park	L 44–7	18470	0–1–0
1	August 22	Alouettes	Varsity Stadium	W 15–14	19492	1–1–0
2	September 1	@ Tiger-Cats	Civic Stadium	L 31–24	20946	1–2–0
3	September 5	Tiger-Cats	Varsity Stadium	L 26–17	26781	1–3–0
4	September 13	@ Alouettes	Molson Stadium	L 24–21	22620	1–4–0
5	September 20	Rough Riders	Varsity Stadium	L 17–14	20166	1–5–0
6	September 27	@ Rough Riders	Landsdowne Park	L 28–4	18500	1–6–0
7	October 4	Alouettes	Varsity Stadium	L 14–10	16424	1–7–0
8	October 11	@ Tiger-Cats	Civic Stadium	L 28–15	16583	1–8–0
8	October 13	Tiger-Cats	Varsity Stadium	W 37–0	16583	2–8–0
9	October 18	@ Rough Riders	Landsdowne Park	W 41–0	14313	3–8–0
10	October 25	Rough Riders	Varsity Stadium	W 42–24	23334	4–8–0
11	November 1	Alouettes	Varsity Stadium	L 44–7	26813	4–9–0
