Year	Place	Gold	Silver	Bronze
1937	Helsinki	Jacques Louis Mazoyer ( FRA )	Viljo Leskinen ( FIN )	Gustav Lokotar ( EST )
1939	Luzern	Karl Steigelmann ( GER )	August Liivik ( EST )	Kurt Johansson ( SWE )
1949	Buenos Aires	Pauli Aapeli Janhonen ( FIN )	Arthur Edwin Cook ( USA )	Erling Asbjoern Kongshaug ( NOR )
1952	Oslo	Erling Asbjoern Kongshaug ( NOR )	Robert Buerchler ( SUI )	Johan Hunaes ( NOR )
1954	Caracas	Anatoli Bogdanov ( URS )	Vassily Borisov ( URS )	Vilho Ilmari Yloenen ( FIN )
1958	Moscow	Victor Shamburkin ( URS )	Marat Niyazov ( URS )	Moysey Itkis ( URS )
1962	Cairo	Gary Anderson ( USA )	Marat Niyazov ( URS )	Erwin Vogt ( SUI )
1966	Wiesbaden	Gary Anderson ( USA )	Marat Niyazov ( URS )	Henryk Gorski ( POL )
1970	Phoenix	Vitali Parkhimovitch ( URS )	John Writer ( USA )	Lones Wigger ( USA )
1974	Thun	John Writer ( USA )	Lones Wigger ( USA )	Lanny Bassham ( USA )
1978	Seoul	Lanny Bassham ( USA )	Malcolm Cooper ( GBR )	Ulrich Lind ( FRG )
1982	Caracas	Vladimir Lvov ( URS )	Peter Heinz ( FRG )	Viktor Vlasov ( URS )
1986	Suhl	Petr Kurka ( TCH )	Malcolm Cooper ( GBR )	Pavel Soukenik ( TCH )
1990	Moscow	Eun Chul Lee ( KOR )	Robert Foth ( USA )	Hrachya Petikyan ( URS )
1994	Milan	Petr Kurka ( CZE )	Thomas Tamas ( USA )	Wolfram Jun. Waibel ( AUT )
1998	Barcelona	Jozef Gönci ( SVK )	Pascal Bessy ( FRA )	Rajmond Debevec ( SLO )
2002	Lahti	Marcel Buerge ( SUI )	Konstantin Prikhodtchenko ( RUS )	Peter Sidi ( HUN )
2006	Zagreb	Artem Khadjibekov ( RUS )	Stevan Pletikosic ( SCG )	Lei Zhang ( CHN )
2010	Munich	Peter Sidi ( HUN )	Han Jinseop ( KOR )	Nemanja Mirosavljev ( SRB )
