Outcome	Year	Championship	Surface	Partner	Opponents in the final	Score in the final
Winner	1999	French Open	Clay	Piet Norval	Larisa Neiland Rick Leach	6–3, 3–6, 6–3
Runner-up	2002	US Open	Hard	Bob Bryan	Lisa Raymond Mike Bryan	6–7, 6–7
Winner	2003	US Open	Hard	Bob Bryan	Lina Krasnoroutskaya Daniel Nestor	5–7, 7–5, 7–6 (7–5)
Runner-up	2005	US Open	Hard	Nenad Zimonjić	Daniela Hantuchová Mahesh Bhupathi	4–6, 2–6
Winner	2006	French Open (2)	Clay	Nenad Zimonjić	Elena Likhovtseva Daniel Nestor	6–3, 6–4
Runner-up	2007	French Open	Clay	Nenad Zimonjić	Nathalie Dechy Andy Ram	5–7, 3–6
Runner-up	2008	French Open	Clay	Nenad Zimonjić	Victoria Azarenka Bob Bryan	2–6, 6–7 (4–7)
Runner-up	2008	Wimbledon	Grass	Mike Bryan	Samantha Stosur Bob Bryan	5–7, 4–6
Winner	2010	French Open (3)	Clay	Nenad Zimonjić	Yaroslava Shvedova Julian Knowle	4–6, 7–6 (7–5) , [11–9]
Winner	2011	Australian Open	Hard	Daniel Nestor	Yung-Jan Chan Paul Hanley	6–3, 3–6, [10–7]
