Team	Hosted	Average	Highest	Lowest	Total	Last Year	Up/Down
Essendon	11	51790	83905	29528	569685	48353	+ 3437
Collingwood	11	49977	78638	26067	549751	45012	+ 4965
Richmond	11	46129	77576	25856	507416	44012	+ 2117
Adelaide	11	39627	46852	31534	435897	38470	+ 1157
Melbourne	11	34060	62761	12566	374665	37599	– 3499
West Coast Eagles	11	32669	41285	25588	359360	33136	– 467
Hawthorn	11	31449	52472	16595	346490	34417	– 2918
Carlton	11	31263	70051	15622	343889	34414	– 3151
Port Adelaide	11	30789	49846	22423	338683	26377	+ 4412
St Kilda	11	29850	40783	14018	328355	24422	+ 5428
Western Bulldogs	11	29660	48728	15111	326263	30572	– 912
Sydney	11	27982	40131	20611	307800	25563	+ 2419
Brisbane Lions	11	27638	36149	20059	304014	27406	+ 232
Geelong	11	27093	50160	14298	298024	27729	– 636
Kangaroos	11	26998	56028	10030	296983	22092	+ 4906
Fremantle	11	21258	38804	15136	233842	22357	– 1099
