Date	Score	Set 1	Set 2	Set 3	Set 4	Set 5	Total
Jun 27	3-1	25-17	22-25	25-20	25-14	NA	97 - 76
Jun 28	3-0	25-21	25-22	25-18	NA	NA	75 - 61
Jun 28	0-3	22-25	19-25	27-29	NA	NA	68 - 79
Jun 29	3-2	19-25	25-14	20-25	25-22	15-10	104 - 96
Jun 5	3-2	25-27	25-22	25-21	30-32	17-15	122 - 117
Jun 5	3-1	25-15	24-26	25-17	25-18	NA	99 - 76
Jun 6	1-3	18-25	25-17	23-25	17-25	NA	83 - 92
Jun 6	3-1	25-17	23-25	25-20	29-27	NA	102 - 89
Jun 12	1-3	12-25	25-23	20-25	17-25	NA	74 - 98
Jun 12	3-1	17-25	25-21	28-26	25-21	NA	95 - 93
Jun 13	0-3	19-25	27-29	18-25	NA	NA	64 - 79
Jun 13	3-0	25-22	25-23	26-24	NA	NA	76 - 69
Jun 19	3-2	27-25	25-19	22-25	23-25	15-12	112 - 106
Jun 19	1-3	25-21	20-25	19-25	18-25	NA	82 - 96
Jun 20	3-1	19-25	25-21	25-23	25-21	NA	94 - 90
Jun 20	0-3	19-25	22-25	19-25	NA	NA	60 - 75
Jun 26	1-3	22-25	20-25	26-24	23-25	NA	91 - 99
Jun 27	1-3	13-25	26-28	25-18	33-35	NA	97 - 106
Jun 27	2-3	20-25	25-17	21-25	25-22	11-15	102 - 104
Jun 28	2-3	18-25	26-24	22-25	25-13	15-17	106 - 104
Jun 2	3-0	25-19	25-15	35-33	NA	NA	85 - 67
Jun 3	3-2	25-20	24-26	25-23	19-25	20-18	113 - 112
Jun 3	3-0	25-14	25-20	25-17	NA	NA	75 - 51
Jun 4	3-2	25-23	17-25	15-25	25-19	15-13	97 - 105
