Year	Title	Role	Studio	Director
1942	Winning Your Wings	Blonde at Dance	Indie	John Huston
1942	Yankee Doodle Dandy	Girl	WB	Michael Curtiz
1943	The Hard Way	Young Blonde	WB	Vincent Sherman
1943	Three Cheers for the Girls	Blonde Chorus Girl (segment "Framing Story")	WB	Busby Berkeley , Jean Negulesco
1943	Old Acquaintance	Deirdre Drake	WB	Vincent Sherman
1944	The Last Ride	Molly Stevens	WB	D. Ross Lederman
1944	To Have and Have Not	Mme. Hellene de Bursac	WB	Howard Hawks
1945	The Horn Blows at Midnight	Violinist/Fran Blackstone	WB	Raoul Walsh
1945	Too Young to Know	Patsy O'Brien	WB	Frederick De Cordova
1947	The Man I Love	Gloria O'Connor	WB	Raoul Walsh
1947	Christmas Eve	Jean Bradford	UA	Edwin L. Marin
1950	Johnny One-Eye	Lily White	UA	Robert Florey
1953	Count the Hours	Paula Mitchener	RKO	Don Siegel
1954	Silver Lode	Dolly	RKO	Allan Dwan
