Rider	Year	Final Position - Giro	Final Position - Tour	Final Position - Vuelta
Eduardo Chozas	1990	11	6	33
Marino Lejarreta (3)	1990	7	5	55
Marino Lejarreta (2)	1989	10	5	20
Luis-Javier Lukin	1988	32	82	60
Marino Lejarreta	1987	4	10	34
Philippe Poissonier	1985	86	90	66
Jose Luis Uribezubia	1971	29	50	27
Jose Manuel Fuente	1971	39	72	54
Federico Bahamontes	1958	17	8	6
Pierino Baffi	1958	23	63	37
Mario Baroni	1957	74	53	46
Gastone Nencini	1957	1	6	9
Bernardo Ruiz (3)	1957	55	24	3
Arrigo Padovan	1956	12	26	19
Bernardo Ruiz (2)	1956	38	70	31
José Serra	1956	26	81	9
Raphael Geminiani	1955	4	6	3
Bernardo Ruiz	1955	28	22	14
Louis Caput	1955	68	54	55
