Artist	Title	Label	Type	Year
Overkill	Power In Black	Blood Metal Music	Cassette	1983
Overkill	Overkill	Azra/ Metal Storm	E.P. Record	1984
Overkill	Feel The Fire	Megaforce	L.P. Record	1985
Overkill	Taking Over	Megaforce/ Atlantic	L.P. Record/ Compact Disc	1987
Overkill	!!!Fuck You!!!	Megaforce/ Caroline	E.P. Record/ Compact Disc	1987
Rat Skates/ Bone To Bone	Some Stuff I Recorded	Independent	Cassette	1988
Eric Cook (Koch)	Ten Mile Road To Hell	Wild Turkey	Cassette	1989
Bomb Squad	Live at Suite 16	Demolition	Cassette	1991
Overkill	Fuck You and Then Some	Megaforce	Cassette/ Compact Disc	1996
Overkill	Fuck You and Then Some/ Feel The Fire	Megaforce	Compact Disc	2005
Lubricunts	Sorry About Your Roof	Vector/ Hottentots	Download/ Rhapsody/ iTunes	2007
