District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Wright Patman	Democratic	1928	Re-elected	Wright Patman (D) Unopposed
Texas 2	Martin Dies, Jr.	Democratic	1930	Re-elected	Martin Dies, Jr. (D) Unopposed
Texas 3	Lindley Beckworth	Democratic	1938	Re-elected	Lindley Beckworth (D) Unopposed
Texas 4	Sam Rayburn	Democratic	1912	Re-elected	Sam Rayburn (D) Unopposed
Texas 6	Luther A. Johnson	Democratic	1922	Re-elected	Luther A. Johnson (D) Unopposed
Texas 7	Nat Patton	Democratic	1934	Re-elected	Nat Patton (D) 98.2% Dudley Lawson (R) 1.8%
Texas 9	Joseph J. Mansfield	Democratic	1916	Re-elected	Joseph J. Mansfield (D) Unopposed
Texas 10	Lyndon B. Johnson	Democratic	1937	Re-elected	Lyndon B. Johnson (D) Unopposed
Texas 11	William R. Poage	Democratic	1936	Re-elected	William R. Poage (D) Unopposed
Texas 12	Fritz G. Lanham	Democratic	1919	Re-elected	Fritz G. Lanham (D) Unopposed
Texas 13	Ed Gossett	Democratic	1938	Re-elected	Ed Gossett (D) 96.4% Louis N. Gould (R) 3.6%
Texas 14	Richard M. Kleberg	Democratic	1931	Re-elected	Richard M. Kleberg (D) Unopposed
Texas 15	Milton H. West	Democratic	1933	Re-elected	Milton H. West (D) 92.4% J. A. Simpson (R) 7.6%
Texas 16	R. Ewing Thomason	Democratic	1930	Re-elected	R. Ewing Thomason (D) Unopposed
Texas 17	Clyde L. Garrett	Democratic	1936	Lost renomination Democratic hold	Sam M. Russell (D) Unopposed
Texas 19	George H. Mahon	Democratic	1934	Re-elected	George H. Mahon (D) Unopposed
