Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
17	December 1	Minnesota	W 100–90 (OT)	Jason Richardson (25)	Emeka Okafor (10)	Raymond Felton (14)	Time Warner Cable Arena 9,285	6–11
18	December 3	Oklahoma City	W 103–97 (OT)	Emeka Okafor (25)	Emeka Okafor (13)	Raymond Felton (12)	Time Warner Cable Arena 11,629	7–11
19	December 5	@ Milwaukee	L 96–101 (OT)	Jason Richardson (20)	Emeka Okafor (8)	Raymond Felton (8)	Bradley Center 14,875	7–12
20	December 6	Cleveland	L 74–94 (OT)	D. J. Augustin (17)	Emeka Okafor (8)	Raymond Felton (5)	Time Warner Cable Arena 19,133	7–13
21	December 8	@ Miami	L 96–100 (OT)	Jason Richardson (24)	Emeka Okafor (12)	Raymond Felton (8)	American Airlines Arena 15,024	7–14
22	December 10	@ New Orleans	L 89–105 (OT)	D. J. Augustin (28)	Emeka Okafor (8)	D. J. Augustin (7)	New Orleans Arena 15,750	7–15
23	December 11	@ Dallas	L 90–95 (OT)	Emeka Okafor (27)	Emeka Okafor (17)	D. J. Augustin (10)	American Airlines Center 19,736	7–16
24	December 13	Detroit	L 86–90 (OT)	Gerald Wallace (22)	Emeka Okafor (12)	Boris Diaw (5)	Time Warner Cable Arena 17,373	7–17
25	December 15	@ Atlanta	L 79–83 (OT)	Boris Diaw (25)	Emeka Okafor (11)	Raymond Felton (7)	Philips Arena 12,733	7–18
26	December 16	Chicago	W 110–101 (OT)	D. J. Augustin (29)	Emeka Okafor (13)	D. J. Augustin , Raymond Felton (7)	Time Warner Cable Arena 11,225	8–18
27	December 19	@ Memphis	W 112–83 (OT)	Boris Diaw (26)	Boris Diaw (10)	D. J. Augustin (10)	FedExForum 11,869	9–18
28	December 20	Golden State	L 103–110 (OT)	Gerald Wallace (26)	Emeka Okafor (13)	Raymond Felton (8)	Time Warner Cable Arena 13,068	9–19
29	December 23	Washington	W 80–72 (OT)	Emeka Okafor (29)	Emeka Okafor (18)	Raymond Felton (8)	Time Warner Cable Arena 13,776	10–19
30	December 26	@ New Jersey	W 95–87 (OT)	Raymond Felton (22)	Gerald Wallace (13)	Boris Diaw (7)	Izod Center 16,852	11–19
31	December 27	New Jersey	L 103–114 (OT)	Gerald Wallace (32)	Emeka Okafor (10)	Boris Diaw (7)	Time Warner Cable Arena 15,837	11–20
