Date	Result	Score	Stadium	City	Crowd
18 July 1997	Penrith Panthers def. Warrington Wolves	48-12	Penrith Oval	Penrith	5,642
18 July 1997	Leeds Rhinos def. Adelaide Rams	22-14	Headlingley Stadium	Leeds	11,269
18 July 1997	Oldham Bears def. North Queensland Cowboys	20-16	Boundary Park	Oldham	2,961
19 July 1997	Perth Reds def. Sheffield Eagles	48-12	WACA Ground	Perth	7,429
20 July 1997	Auckland Warriors def. Bradford Bulls	64-14	Ericsson Stadium	Auckland	13,000
20 July 1997	Hunter Mariners def. Castleford Tigers	26-8	Topper Stadium	Newcastle	3,379
20 July 1997	Canterbury Bulldogs def. Halifax Blue Sox	40-22	Thrum Hall	Halifax	3,500
20 July 1997	Brisbane Broncos def. Wigan Warriors	30-4	Central Park	Wigan	12,816
21 July 1997	Cronulla Sharks def. St Helens	28-12	Shark Park	Sydney	7,751
21 July 1997	London Broncos def. Canberra Raiders	38-18	The Stoop	London	7,819
