Date	Visitor	Score	Home	Record
November 12	Chicago Black Hawks	2–1	Toronto Maple Leafs	1–0–0
November 15	New York Americans	1–1	Chicago Black Hawks	1–0–1
November 18	Toronto Maple Leafs	1–1	Chicago Black Hawks	1–0–2
November 22	Montreal Maroons	2–4	Chicago Black Hawks	2–0–2
November 24	Chicago Black Hawks	1–1	New York Rangers	2–0–3
November 26	Chicago Black Hawks	0–1	Boston Bruins	2–1–3
November 29	New York Rangers	5–0	Chicago Black Hawks	2–2–3
December 2	Montreal Canadiens	1–2	Chicago Black Hawks	3–2–3
December 6	Chicago Black Hawks	0–2	New York Americans	3–3–3
December 8	Chicago Black Hawks	1–1	Montreal Canadiens	3–3–4
December 13	Boston Bruins	3–0	Chicago Black Hawks	3–4–4
December 16	Detroit Falcons	1–4	Chicago Black Hawks	4–4–4
December 17	Chicago Black Hawks	1–4	Detroit Falcons	4–5–4
December 20	Toronto Maple Leafs	0–1	Chicago Black Hawks	5–5–4
December 22	Chicago Black Hawks	1–1	Montreal Maroons	5–5–5
December 27	Chicago Black Hawks	1–3	New York Rangers	5–6–5
December 29	Chicago Black Hawks	3–3	Boston Bruins	5–6–6
January 1	New York Americans	2–3	Chicago Black Hawks	6–6–6
January 3	New York Rangers	1–1	Chicago Black Hawks	6–6–7
January 6	Detroit Falcons	2–4	Chicago Black Hawks	7–6–7
January 10	Boston Bruins	1–1	Chicago Black Hawks	7–6–8
January 13	Montreal Canadiens	2–1	Chicago Black Hawks	7–7–8
January 14	Chicago Black Hawks	0–2	Detroit Falcons	7–8–8
January 17	Montreal Maroons	3–3	Chicago Black Hawks	7–8–9
January 19	Chicago Black Hawks	3–2	Boston Bruins	8–8–9
January 21	Chicago Black Hawks	1–0	New York Americans	9–8–9
January 23	Chicago Black Hawks	3–3	Montreal Maroons	9–8–10
January 27	Detroit Falcons	1–2	Chicago Black Hawks	10–8–10
January 28	Chicago Black Hawks	2–4	Detroit Falcons	10–9–10
January 31	New York Rangers	3–0	Chicago Black Hawks	10–10–10
February 3	Toronto Maple Leafs	0–7	Chicago Black Hawks	11–10–10
February 7	Chicago Black Hawks	0–1	New York Rangers	11–11–10
February 9	Chicago Black Hawks	3–1	New York Americans	12–11–10
February 11	Chicago Black Hawks	1–4	Montreal Canadiens	12–12–10
February 14	Chicago Black Hawks	1–3	Detroit Falcons	12–13–10
February 17	Montreal Canadiens	3–1	Chicago Black Hawks	12–14–10
February 20	Boston Bruins	1–2	Chicago Black Hawks	13–14–10
February 24	Montreal Maroons	1–3	Chicago Black Hawks	14–14–10
February 27	Chicago Black Hawks	2–4	Toronto Maple Leafs	14–15–10
March 1	Chicago Black Hawks	0–1	Montreal Maroons	14–16–10
March 4	New York Americans	1–6	Chicago Black Hawks	15–16–10
March 6	New York Rangers	3–4	Chicago Black Hawks	16–16–10
March 8	Chicago Black Hawks	1–6	New York Rangers	16–17–10
March 10	Chicago Black Hawks	3–2	Boston Bruins	17–17–10
March 12	Chicago Black Hawks	0–1	Montreal Canadiens	17–18–10
March 16	Detroit Falcons	1–1	Chicago Black Hawks	17–18–11
March 19	Chicago Black Hawks	3–11	Toronto Maple Leafs	17–19–11
March 20	Boston Bruins	0–1	Chicago Black Hawks	18–19–11
