Team	Truck(s)	#	Driver(s)	Primary Sponsor(s)	Listed Owner(s)	Crew Chief
Bill Davis Racing	Toyota Tundra	5	Mike Skinner	Toyota Tundra	Bill Davis	Jeff Hensley
Bill Davis Racing	Toyota Tundra	22	Bill Lester	Suntrust	Bill Davis	Doug Wolcott
Bill Davis Racing	Toyota Tundra	23	Johnny Benson	Toyota Racing Development	Gail Davis	Greg Ely
BHR2	Dodge Ram	8	Deborah Renshaw	Easy Care Service Contracts	Ray Montgomery	Bob Bissinger
Billy Ballew Motorsports	Chevrolet Silverado	15	Shane Hmiel	Kraft Foods	Billy Ballew	Richie Wauters
Bobby Hamilton Racing	Dodge Ram	4	Bobby Hamilton	Bailey's	Stephanie Hamilton	Danny Rollins
Bobby Hamilton Racing	Dodge Ram	4	Casey Atwood	Bailey's	Bobby Hamilton	Randy Seals
Bobby Hamilton Racing	Dodge Ram	18	Chase Montgomery	n/a	Bobby Hamilton	Kip McCord
Brevak Racing	Dodge Ram	31	Nick Tucker (R)	RepairOne	Shelly Brevak	Bob Brevak
Circle Bar Racing	Ford F-150	14	Rick Crawford	Circle Bar Truck Corral	Tom Mitchell	Kevin Starland
Darrell Waltrip Motorsports	Toyota Tundra	12	Robert Huffman	Toyota Tundra	Darrell Waltrip	Glenn Funderburk
Darrell Waltrip Motorsports	Toyota Tundra	17	David Reutimann	NTN Bearings	Darrell Waltrip	Jason Overstreet
Fiddle Back Racing	Toyota Tundra	66	Todd Bodine	Windbreaker Racing	Tom Eldredge	Tony Furr
Germain/ Arnold Racing	Toyota Tundra	9	Shigeaki Hattori (R)	AISIN	Bob Germain	Tom Ackerman
Germain/ Arnold Racing	Toyota Tundra	30	Chad Chaffin	Toyota Tundra	Stephen Germain	Mike Hillman, Jr.
Green Light Racing	Chevrolet Silverado	7	Sean Murphy	n/a	Gene Christensen	Doug Howe
HT Motorsports	Dodge Ram	59	Robert Pressley	Melling, Inc.	Jim Harris	Fred Graves
K Automotive Racing	Ford F-150	29	Brad Keselowski	SUBCrews	Kay Keselowski	Bob Keselowski
Kevin Harvick Incorporated	Chevrolet Silverado	6	Ron Hornaday	GM Goodwrench	Delana Harvick	Wally Rogers
KW Racing	Chevrolet Silverado	8	Ken Weaver	1-800-4-A-Phone	Bobby Dotter	Scott Neal
Mighty Motorsports	Chevrolet Silverado	24	Wayne Edwards	n/a	Rob Ferguson	Cliff Button
Morgan-Dollar Motorsports	Chevrolet Silverado	46	Dennis Setzer	Chevrolet Silverado	David Dollar	Eric Phillips
Orleans Racing	Dodge Ram	62	Steve Park	Orleans Casino	Michael Gaughan	Charlie Wilson
Orleans Racing	Dodge Ram	77	Brendan Gaughan	Jasper Engines & Transmissions	Michael Gaughan	Billy Wilburn
ppc Racing	Ford F-150	10	Terry Cook	Power Stroke Diesel	Greg Pollex	Rick Gay
Red Horse Racing	Toyota Tundra	38	Brandon Whitt	Cure Autism Now / McMillin Homes	Tom DeLoach	Jamie Jones
Rhodes Racing	Dodge Ram	48	Derrike Cope	James Western Star	Ron Rhodes	James Hylton
Roush Racing	Ford F-150	50	Todd Kluever (R)	World Financial Group	Jack Roush	John Monsam
Roush Racing	Ford F-150	99	Ricky Craven	Superchips	Jack Roush	Mike Beam
Spears Motorsports	Chevrolet Silverado	75	David Starr	Spears Manufacturing	Wayne Spears	Dave McCarty
Sutton Motorsports	Chevrolet Silverado	2	Kelly Sutton	Team Copaxone	Ed Sutton	Jason Weissman
ThorSport Racing	Chevrolet Silverado	13	Tracy Hines	David Zoriki Motorsports	Duke Thorson	Shane Tesch
ThorSport Racing	Chevrolet Silverado	88	Matt Crafton	Menards	Rhonda Thorson	Dennis Connor
Ultra Motorsports	Dodge Ram	1	Ted Musgrave	Mopar	Jim Smith	Gene Nead
Ultra Motorsports	Dodge Ram	2	Jimmy Spencer	Team ASE Racing	Marlene Smith	Buddy Barnes
Xpress Motorsports	Chevrolet Silverado	15	Regan Smith	N/A	Dave Fuge	N/A
