Name	Position	Number	Season	Acquisition via
Edwin Bacani	Guard	88	2006	Trade
Froilan Baguion	Guard	17	2008	Free Agency
Estong Ballesteros	Forward	16	2002	Free Agency
Bryant Basemore	Guard	8	2002	Import
Nic Belasco	Forward	3, 33	2008-2009, 2012	Trade, Free Agency
Rashard Bell	Forward	1, 3	2007, 2010	Import
Chris Bolado	Center	24	2002-2003	Free Agency
Ken Bono	Center	7	2009-2010	Trade
Lawrence Bonus	Center	10	2008-2009	Free Agency
Torraye Braggs	Center	50	2002	Import
Lowell Briones	Forward	4	2002	Free Agency
Ronjay Buenafe	Guard	9	2007-2009	Rookie Draft
