Season	Airdate	The Mole	Winner	Runner-up	Prize money	International destination
Season 1	19 November 1999	Deborah	Petra	Robin	ƒ 82,500 ( € 37,437)	Australia
Season 2	5 January 2001	Nico	Sigrid	Yvonne	ƒ70,000 (€31,765)	Scotland
Season 3	11 January 2002	George	John	Jantien	€42,300	Portugal
Season 4	10 January 2003	Elise	Ron	Chandrika	€35,550	Canada
Season 5	14 January 2005	Yvon Jaspers	Marc-Marie Huijbregts	Lottie Hellingman	€23,000	Australia , Indonesia
Season 6	10 March 2006	Milouska Meulens	Frédérique Huydts	Roderick Veelo	€24,475	Argentina
Season 7	4 January 2007	Inge Ipenburg	Paul Rabbering	Renate Verbaan Eva van der Gught	€17,300	Thailand
Season 8	3 January 2008	Dennis Weening	Edo Brunner	Regina Romeijn	€20,375	Mexico
Season 9	8 January 2009	Jon van Eerd	Viviënne van den Assem	Anniek Pfeifer	€22,650	Northern Ireland Jordan
Season 10	7 January 2010	Kim Pieters	Frits Sissing	Sanne Vogel	€21,950	Japan
Season 11	6 January 2011	Patrick Stoof	Art Rooijakkers	Soundos El Ahmadi	€19,540	El Salvador Nicaragua
Season 12	5 January 2012	Anne-Marie Jung	Hadewych Minis	Liesbeth Staats	€12,601	Iceland Spain
Season 13	3 January 2013	Kees Tol	Paulien Cornelisse	Carolien Borgers	€17,120	South Africa
