Round	Pick	Player	Nationality	College/junior/club team
1	11.	Brad Marsh (D)	Canada	London Knights ( OHA )
3	47.	Tim Bernhardt (G)	Canada	Cornwall Royals ( OHA )
4	64.	Jim MacRae (F)	Canada	London Knights ( OHA )
5	80.	Gord Wappel (D)	Canada	Regina Pats ( WCHL )
6	97.	Greg Meredith (D)	Canada	University of Notre Dame ( NCAA )
7	114.	Dave Hindmarch (C)	Canada	University of Alberta ( CIAU )
8	131.	Dave Morrison (RW)	Canada	Calgary Wranglers ( WCHL )
9	148.	Doug Todd (RW)	Canada	University of Michigan ( NCAA )
10	165.	Mark Green (C)	United States	Sherbrooke Beavers ( QMJHL )
11	180.	Bob Sullivan (LW)	Canada	Toledo Goaldiggers ( IHL )
12	196.	Bernhardt Engelbrecht (G)	West Germany	Landshut EV ( Bundesliga )
